well,od_600nm,identifier,replicate,growth_medium,date,run_number,elapsed_time_hr,avg_blank_value,strain,class
C3,0.096,GC086,1,acetate,2021-08-21,1,0.0,0.07903703703703703,∆mal ∆flh,Double KO
C4,0.099,GC093,1,acetate,2021-08-21,1,0.0,0.07903703703703703,∆pot ∆flh,Double KO
C5,0.094,GC077,1,acetate,2021-08-21,1,0.0,0.07903703703703703,∆nmp ∆dpp,Double KO
C6,0.091,GC083,1,acetate,2021-08-21,1,0.0,0.07903703703703703,∆opp ∆dpp,Double KO
C7,0.091,GC095,1,acetate,2021-08-21,1,0.0,0.07903703703703703,∆pot ∆dpp,Double KO
C8,0.107,GC081,1,acetate,2021-08-21,1,0.0,0.07903703703703703,∆his ∆dpp,Double KO
C9,0.094,GC080,1,acetate,2021-08-21,1,0.0,0.07903703703703703,∆mgl ∆dpp,Double KO
C10,0.095,GC107,1,acetate,2021-08-21,1,0.0,0.07903703703703703,∆mal ∆dpp,Double KO
D3,0.102,GC086,2,acetate,2021-08-21,1,0.0,0.07903703703703703,∆mal ∆flh,Double KO
D4,0.096,GC093,2,acetate,2021-08-21,1,0.0,0.07903703703703703,∆pot ∆flh,Double KO
D5,0.092,GC077,2,acetate,2021-08-21,1,0.0,0.07903703703703703,∆nmp ∆dpp,Double KO
D6,0.092,GC083,2,acetate,2021-08-21,1,0.0,0.07903703703703703,∆opp ∆dpp,Double KO
D7,0.092,GC095,2,acetate,2021-08-21,1,0.0,0.07903703703703703,∆pot ∆dpp,Double KO
D8,0.103,GC081,2,acetate,2021-08-21,1,0.0,0.07903703703703703,∆his ∆dpp,Double KO
D9,0.093,GC080,2,acetate,2021-08-21,1,0.0,0.07903703703703703,∆mgl ∆dpp,Double KO
D10,0.095,GC107,2,acetate,2021-08-21,1,0.0,0.07903703703703703,∆mal ∆dpp,Double KO
E3,0.095,GC086,3,acetate,2021-08-21,1,0.0,0.07903703703703703,∆mal ∆flh,Double KO
E4,0.096,GC093,3,acetate,2021-08-21,1,0.0,0.07903703703703703,∆pot ∆flh,Double KO
E5,0.094,GC077,3,acetate,2021-08-21,1,0.0,0.07903703703703703,∆nmp ∆dpp,Double KO
E6,0.093,GC083,3,acetate,2021-08-21,1,0.0,0.07903703703703703,∆opp ∆dpp,Double KO
E7,0.093,GC095,3,acetate,2021-08-21,1,0.0,0.07903703703703703,∆pot ∆dpp,Double KO
E8,0.105,GC081,3,acetate,2021-08-21,1,0.0,0.07903703703703703,∆his ∆dpp,Double KO
E9,0.092,GC080,3,acetate,2021-08-21,1,0.0,0.07903703703703703,∆mgl ∆dpp,Double KO
E10,0.095,GC107,3,acetate,2021-08-21,1,0.0,0.07903703703703703,∆mal ∆dpp,Double KO
F3,0.091,GC102,1,acetate,2021-08-21,1,0.0,0.07903703703703703,∆nmp ∆opp,Double KO
F4,0.091,GC102,2,acetate,2021-08-21,1,0.0,0.07903703703703703,∆nmp ∆opp,Double KO
F5,0.09,GC102,3,acetate,2021-08-21,1,0.0,0.07903703703703703,∆nmp ∆opp,Double KO
