well,od_600nm,identifier,replicate,growth_medium,date,run_number,elapsed_time_hr,avg_blank_value,strain,class,od_600nm_subtracted
C10,0.088,GC055,1,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703704,∆mgl,Single KO,0.00896296296296295
D3,0.086,GC032,2,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703704,∆mal,Single KO,0.006962962962962949
D4,0.085,GC049,2,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703704,∆pot,Single KO,0.005962962962962962
D5,0.085,GC052,2,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703704,∆nmp,Single KO,0.005962962962962962
D6,0.088,GC047,2,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703704,∆his,Single KO,0.00896296296296295
D7,0.09,GC050,2,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703704,∆rbs,Single KO,0.010962962962962952
D8,0.082,GC048,2,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703704,∆dpp,Single KO,0.002962962962962959
D9,0.083,GC053,2,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703704,∆opp,Single KO,0.00396296296296296
D10,0.089,GC055,2,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703704,∆mgl,Single KO,0.009962962962962951
E3,0.085,GC032,3,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703704,∆mal,Single KO,0.005962962962962962
E4,0.086,GC049,3,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703704,∆pot,Single KO,0.006962962962962949
E5,0.086,GC052,3,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703704,∆nmp,Single KO,0.006962962962962949
E6,0.088,GC047,3,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703704,∆his,Single KO,0.00896296296296295
E7,0.088,GC050,3,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703704,∆rbs,Single KO,0.00896296296296295
E8,0.083,GC048,3,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703704,∆dpp,Single KO,0.00396296296296296
E9,0.085,GC053,3,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703704,∆opp,Single KO,0.005962962962962962
E10,0.089,GC055,3,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703704,∆mgl,Single KO,0.009962962962962951
F3,0.083,GC030,1,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703704,∆glt,Single KO,0.00396296296296296
F4,0.085,GC030,2,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703704,∆glt,Single KO,0.005962962962962962
F5,0.083,GC030,3,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703704,∆glt,Single KO,0.00396296296296296
F6,0.083,GC029,1,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703704,∆flh,Single KO,0.00396296296296296
F7,0.085,GC029,2,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703704,∆flh,Single KO,0.005962962962962962
F8,0.083,GC029,3,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703704,∆flh,Single KO,0.00396296296296296
F9,0.084,GC001,1,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703704,WT,WT,0.004962962962962961
F10,0.084,GC001,2,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703704,WT,WT,0.004962962962962961
F11,0.081,GC001,3,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703704,WT,WT,0.001962962962962958
C3,0.086,GC032,1,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆mal,Single KO,0.007037037037037036
C4,0.088,GC049,1,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆pot,Single KO,0.009037037037037038
C5,0.089,GC052,1,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆nmp,Single KO,0.010037037037037039
C6,0.086,GC047,1,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆his,Single KO,0.007037037037037036
C7,0.089,GC050,1,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆rbs,Single KO,0.010037037037037039
C8,0.084,GC048,1,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆dpp,Single KO,0.005037037037037048
C9,0.086,GC053,1,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆opp,Single KO,0.007037037037037036
C10,0.088,GC055,1,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆mgl,Single KO,0.009037037037037038
D3,0.087,GC032,2,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆mal,Single KO,0.008037037037037037
D4,0.085,GC049,2,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆pot,Single KO,0.006037037037037049
D5,0.086,GC052,2,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆nmp,Single KO,0.007037037037037036
D6,0.088,GC047,2,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆his,Single KO,0.009037037037037038
D7,0.091,GC050,2,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆rbs,Single KO,0.01203703703703704
D8,0.083,GC048,2,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆dpp,Single KO,0.004037037037037047
D9,0.083,GC053,2,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆opp,Single KO,0.004037037037037047
D10,0.089,GC055,2,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆mgl,Single KO,0.010037037037037039
E3,0.085,GC032,3,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆mal,Single KO,0.006037037037037049
E4,0.087,GC049,3,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆pot,Single KO,0.008037037037037037
E5,0.086,GC052,3,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆nmp,Single KO,0.007037037037037036
E6,0.089,GC047,3,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆his,Single KO,0.010037037037037039
E7,0.089,GC050,3,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆rbs,Single KO,0.010037037037037039
E8,0.084,GC048,3,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆dpp,Single KO,0.005037037037037048
E9,0.086,GC053,3,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆opp,Single KO,0.007037037037037036
E10,0.089,GC055,3,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆mgl,Single KO,0.010037037037037039
F3,0.084,GC030,1,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆glt,Single KO,0.005037037037037048
F4,0.085,GC030,2,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆glt,Single KO,0.006037037037037049
F5,0.084,GC030,3,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆glt,Single KO,0.005037037037037048
F6,0.084,GC029,1,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆flh,Single KO,0.005037037037037048
F7,0.086,GC029,2,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆flh,Single KO,0.007037037037037036
F8,0.084,GC029,3,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆flh,Single KO,0.005037037037037048
F9,0.085,GC001,1,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,WT,WT,0.006037037037037049
F10,0.085,GC001,2,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,WT,WT,0.006037037037037049
F11,0.082,GC001,3,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,WT,WT,0.0030370370370370464
C3,0.087,GC032,1,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆mal,Single KO,0.008037037037037023
C4,0.089,GC049,1,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆pot,Single KO,0.010037037037037025
C5,0.089,GC052,1,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆nmp,Single KO,0.010037037037037025
C6,0.086,GC047,1,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆his,Single KO,0.007037037037037022
C7,0.091,GC050,1,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆rbs,Single KO,0.012037037037037027
C8,0.084,GC048,1,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆dpp,Single KO,0.005037037037037034
C9,0.087,GC053,1,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆opp,Single KO,0.008037037037037023
C10,0.089,GC055,1,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆mgl,Single KO,0.010037037037037025
D3,0.087,GC032,2,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆mal,Single KO,0.008037037037037023
D4,0.086,GC049,2,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆pot,Single KO,0.007037037037037022
D5,0.086,GC052,2,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆nmp,Single KO,0.007037037037037022
D6,0.089,GC047,2,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆his,Single KO,0.010037037037037025
D7,0.092,GC050,2,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆rbs,Single KO,0.013037037037037028
D8,0.083,GC048,2,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆dpp,Single KO,0.004037037037037033
D9,0.084,GC053,2,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆opp,Single KO,0.005037037037037034
D10,0.09,GC055,2,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆mgl,Single KO,0.011037037037037026
E3,0.086,GC032,3,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆mal,Single KO,0.007037037037037022
E4,0.087,GC049,3,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆pot,Single KO,0.008037037037037023
E5,0.087,GC052,3,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆nmp,Single KO,0.008037037037037023
E6,0.089,GC047,3,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆his,Single KO,0.010037037037037025
E7,0.09,GC050,3,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆rbs,Single KO,0.011037037037037026
E8,0.084,GC048,3,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆dpp,Single KO,0.005037037037037034
E9,0.086,GC053,3,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆opp,Single KO,0.007037037037037022
E10,0.09,GC055,3,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆mgl,Single KO,0.011037037037037026
F3,0.085,GC030,1,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆glt,Single KO,0.006037037037037035
F4,0.086,GC030,2,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆glt,Single KO,0.007037037037037022
F5,0.084,GC030,3,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆glt,Single KO,0.005037037037037034
F6,0.084,GC029,1,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆flh,Single KO,0.005037037037037034
F7,0.086,GC029,2,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆flh,Single KO,0.007037037037037022
F8,0.084,GC029,3,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,∆flh,Single KO,0.005037037037037034
F9,0.085,GC001,1,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,WT,WT,0.006037037037037035
F10,0.085,GC001,2,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,WT,WT,0.006037037037037035
F11,0.082,GC001,3,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296297,WT,WT,0.0030370370370370325
C3,0.088,GC032,1,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆mal,Single KO,0.008999999999999994
C4,0.089,GC049,1,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆pot,Single KO,0.009999999999999995
C5,0.09,GC052,1,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆nmp,Single KO,0.010999999999999996
C6,0.087,GC047,1,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆his,Single KO,0.007999999999999993
C7,0.092,GC050,1,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆rbs,Single KO,0.012999999999999998
C8,0.084,GC048,1,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆dpp,Single KO,0.0050000000000000044
C9,0.088,GC053,1,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆opp,Single KO,0.008999999999999994
C10,0.09,GC055,1,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆mgl,Single KO,0.010999999999999996
D3,0.088,GC032,2,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆mal,Single KO,0.008999999999999994
D4,0.086,GC049,2,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆pot,Single KO,0.006999999999999992
D5,0.087,GC052,2,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆nmp,Single KO,0.007999999999999993
D6,0.089,GC047,2,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆his,Single KO,0.009999999999999995
D7,0.093,GC050,2,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆rbs,Single KO,0.013999999999999999
D8,0.084,GC048,2,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆dpp,Single KO,0.0050000000000000044
D9,0.085,GC053,2,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆opp,Single KO,0.006000000000000005
D10,0.09,GC055,2,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆mgl,Single KO,0.010999999999999996
E3,0.086,GC032,3,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆mal,Single KO,0.006999999999999992
E4,0.088,GC049,3,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆pot,Single KO,0.008999999999999994
E5,0.087,GC052,3,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆nmp,Single KO,0.007999999999999993
E6,0.09,GC047,3,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆his,Single KO,0.010999999999999996
E7,0.091,GC050,3,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆rbs,Single KO,0.011999999999999997
E8,0.084,GC048,3,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆dpp,Single KO,0.0050000000000000044
E9,0.087,GC053,3,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆opp,Single KO,0.007999999999999993
E10,0.091,GC055,3,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆mgl,Single KO,0.011999999999999997
F3,0.085,GC030,1,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆glt,Single KO,0.006000000000000005
F4,0.086,GC030,2,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆glt,Single KO,0.006999999999999992
F5,0.085,GC030,3,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆glt,Single KO,0.006000000000000005
F6,0.085,GC029,1,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆flh,Single KO,0.006000000000000005
F7,0.087,GC029,2,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆flh,Single KO,0.007999999999999993
F8,0.085,GC029,3,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,∆flh,Single KO,0.006000000000000005
F9,0.085,GC001,1,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,WT,WT,0.006000000000000005
F10,0.085,GC001,2,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,WT,WT,0.006000000000000005
F11,0.082,GC001,3,glucose-acetate,2021-09-07,1,0.5022222222222222,0.079,WT,WT,0.0030000000000000027
C3,0.088,GC032,1,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆mal,Single KO,0.008851851851851833
C4,0.09,GC049,1,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆pot,Single KO,0.010851851851851835
C5,0.091,GC052,1,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆nmp,Single KO,0.011851851851851836
C6,0.087,GC047,1,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆his,Single KO,0.007851851851851832
C7,0.093,GC050,1,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆rbs,Single KO,0.013851851851851837
C8,0.084,GC048,1,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆dpp,Single KO,0.004851851851851843
C9,0.088,GC053,1,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆opp,Single KO,0.008851851851851833
C10,0.091,GC055,1,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆mgl,Single KO,0.011851851851851836
D3,0.089,GC032,2,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆mal,Single KO,0.009851851851851834
D4,0.086,GC049,2,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆pot,Single KO,0.006851851851851831
D5,0.087,GC052,2,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆nmp,Single KO,0.007851851851851832
D6,0.09,GC047,2,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆his,Single KO,0.010851851851851835
D7,0.094,GC050,2,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆rbs,Single KO,0.014851851851851838
D8,0.084,GC048,2,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆dpp,Single KO,0.004851851851851843
D9,0.085,GC053,2,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆opp,Single KO,0.005851851851851844
D10,0.092,GC055,2,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆mgl,Single KO,0.012851851851851837
E3,0.087,GC032,3,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆mal,Single KO,0.007851851851851832
E4,0.088,GC049,3,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆pot,Single KO,0.008851851851851833
E5,0.088,GC052,3,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆nmp,Single KO,0.008851851851851833
E6,0.09,GC047,3,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆his,Single KO,0.010851851851851835
E7,0.092,GC050,3,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆rbs,Single KO,0.012851851851851837
E8,0.084,GC048,3,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆dpp,Single KO,0.004851851851851843
E9,0.087,GC053,3,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆opp,Single KO,0.007851851851851832
E10,0.092,GC055,3,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆mgl,Single KO,0.012851851851851837
F3,0.085,GC030,1,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆glt,Single KO,0.005851851851851844
F4,0.086,GC030,2,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆glt,Single KO,0.006851851851851831
F5,0.085,GC030,3,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆glt,Single KO,0.005851851851851844
F6,0.085,GC029,1,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆flh,Single KO,0.005851851851851844
F7,0.088,GC029,2,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆flh,Single KO,0.008851851851851833
F8,0.085,GC029,3,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,∆flh,Single KO,0.005851851851851844
F9,0.086,GC001,1,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,WT,WT,0.006851851851851831
F10,0.085,GC001,2,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,WT,WT,0.005851851851851844
F11,0.082,GC001,3,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814816,WT,WT,0.0028518518518518415
C3,0.089,GC032,1,glucose-acetate,2021-09-07,1,0.7533333333333333,0.07922222222222221,∆mal,Single KO,0.009777777777777788
C4,0.091,GC049,1,glucose-acetate,2021-09-07,1,0.7533333333333333,0.07922222222222221,∆pot,Single KO,0.01177777777777779
C5,0.092,GC052,1,glucose-acetate,2021-09-07,1,0.7533333333333333,0.07922222222222221,∆nmp,Single KO,0.01277777777777779
C6,0.088,GC047,1,glucose-acetate,2021-09-07,1,0.7533333333333333,0.07922222222222221,∆his,Single KO,0.008777777777777787
C7,0.095,GC050,1,glucose-acetate,2021-09-07,1,0.7533333333333333,0.07922222222222221,∆rbs,Single KO,0.015777777777777793
C8,0.085,GC048,1,glucose-acetate,2021-09-07,1,0.7533333333333333,0.07922222222222221,∆dpp,Single KO,0.005777777777777798
C9,0.088,GC053,1,glucose-acetate,2021-09-07,1,0.7533333333333333,0.07922222222222221,∆opp,Single KO,0.008777777777777787
C10,0.093,GC055,1,glucose-acetate,2021-09-07,1,0.7533333333333333,0.07922222222222221,∆mgl,Single KO,0.013777777777777792
D3,0.09,GC032,2,glucose-acetate,2021-09-07,1,0.7533333333333333,0.07922222222222221,∆mal,Single KO,0.010777777777777789
D4,0.087,GC049,2,glucose-acetate,2021-09-07,1,0.7533333333333333,0.07922222222222221,∆pot,Single KO,0.007777777777777786
D5,0.088,GC052,2,glucose-acetate,2021-09-07,1,0.7533333333333333,0.07922222222222221,∆nmp,Single KO,0.008777777777777787
D6,0.091,GC047,2,glucose-acetate,2021-09-07,1,0.7533333333333333,0.07922222222222221,∆his,Single KO,0.01177777777777779
D7,0.096,GC050,2,glucose-acetate,2021-09-07,1,0.7533333333333333,0.07922222222222221,∆rbs,Single KO,0.016777777777777794
D8,0.084,GC048,2,glucose-acetate,2021-09-07,1,0.7533333333333333,0.07922222222222221,∆dpp,Single KO,0.0047777777777777974
