well,od_600nm,strain,water_source,replicate,growth_medium,date,run_number,elapsed_time_hr,avg_blank_value
C3,0.083,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.0,0.07925000000000003
C4,0.083,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.0,0.07925000000000003
C5,0.084,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.0,0.07925000000000003
D3,0.082,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.0,0.07925000000000003
D4,0.081,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.0,0.07925000000000003
D5,0.082,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.0,0.07925000000000003
E3,0.081,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.0,0.07925000000000003
E4,0.082,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.0,0.07925000000000003
E5,0.083,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.0,0.07925000000000003
F3,0.082,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.0,0.07925000000000003
F4,0.083,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.0,0.07925000000000003
F5,0.083,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.0,0.07925000000000003
C3,0.083,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.12555555555555556,0.0792291666666667
C4,0.083,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.12555555555555556,0.0792291666666667
C5,0.084,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.12555555555555556,0.0792291666666667
D3,0.082,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.12555555555555556,0.0792291666666667
D4,0.08,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.12555555555555556,0.0792291666666667
D5,0.082,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.12555555555555556,0.0792291666666667
E3,0.081,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.12555555555555556,0.0792291666666667
E4,0.082,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.12555555555555556,0.0792291666666667
E5,0.082,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.12555555555555556,0.0792291666666667
F3,0.082,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.12555555555555556,0.0792291666666667
F4,0.083,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.12555555555555556,0.0792291666666667
F5,0.083,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.12555555555555556,0.0792291666666667
C3,0.083,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.2511111111111111,0.07916666666666669
C4,0.084,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.2511111111111111,0.07916666666666669
C5,0.084,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.2511111111111111,0.07916666666666669
D3,0.082,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.2511111111111111,0.07916666666666669
D4,0.081,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.2511111111111111,0.07916666666666669
D5,0.083,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.2511111111111111,0.07916666666666669
E3,0.081,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.2511111111111111,0.07916666666666669
E4,0.082,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.2511111111111111,0.07916666666666669
E5,0.083,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.2511111111111111,0.07916666666666669
F3,0.082,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.2511111111111111,0.07916666666666669
F4,0.083,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.2511111111111111,0.07916666666666669
F5,0.083,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.2511111111111111,0.07916666666666669
C3,0.083,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.37666666666666665,0.07927083333333336
C4,0.084,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.37666666666666665,0.07927083333333336
C5,0.084,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.37666666666666665,0.07927083333333336
D3,0.083,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.37666666666666665,0.07927083333333336
D4,0.081,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.37666666666666665,0.07927083333333336
D5,0.083,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.37666666666666665,0.07927083333333336
E3,0.082,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.37666666666666665,0.07927083333333336
E4,0.083,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.37666666666666665,0.07927083333333336
E5,0.082,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.37666666666666665,0.07927083333333336
F3,0.083,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.37666666666666665,0.07927083333333336
F4,0.083,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.37666666666666665,0.07927083333333336
F5,0.083,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.37666666666666665,0.07927083333333336
C3,0.083,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.5022222222222222,0.07910416666666668
C4,0.084,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.5022222222222222,0.07910416666666668
C5,0.084,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.5022222222222222,0.07910416666666668
D3,0.083,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.5022222222222222,0.07910416666666668
D4,0.081,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.5022222222222222,0.07910416666666668
D5,0.082,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.5022222222222222,0.07910416666666668
E3,0.082,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.5022222222222222,0.07910416666666668
E4,0.083,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.5022222222222222,0.07910416666666668
E5,0.082,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.5022222222222222,0.07910416666666668
F3,0.083,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.5022222222222222,0.07910416666666668
F4,0.083,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.5022222222222222,0.07910416666666668
F5,0.084,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.5022222222222222,0.07910416666666668
C3,0.084,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.6277777777777778,0.07918750000000004
C4,0.084,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.6277777777777778,0.07918750000000004
C5,0.084,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.6277777777777778,0.07918750000000004
D3,0.083,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.6277777777777778,0.07918750000000004
D4,0.081,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.6277777777777778,0.07918750000000004
D5,0.083,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.6277777777777778,0.07918750000000004
E3,0.082,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.6277777777777778,0.07918750000000004
E4,0.083,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.6277777777777778,0.07918750000000004
E5,0.083,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.6277777777777778,0.07918750000000004
F3,0.083,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.6277777777777778,0.07918750000000004
F4,0.084,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.6277777777777778,0.07918750000000004
F5,0.084,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.6277777777777778,0.07918750000000004
C3,0.084,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.7533333333333333,0.07939583333333337
C4,0.085,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.7533333333333333,0.07939583333333337
C5,0.085,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.7533333333333333,0.07939583333333337
D3,0.083,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.7533333333333333,0.07939583333333337
D4,0.081,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.7533333333333333,0.07939583333333337
D5,0.083,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.7533333333333333,0.07939583333333337
E3,0.082,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.7533333333333333,0.07939583333333337
E4,0.083,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.7533333333333333,0.07939583333333337
E5,0.083,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.7533333333333333,0.07939583333333337
F3,0.083,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.7533333333333333,0.07939583333333337
F4,0.084,WT,UCSD - micronutrients,2,acetate,2021-08-31,2,0.7533333333333333,0.07939583333333337
F5,0.084,WT,Stanford + micronutrients,3,acetate,2021-08-31,2,0.7533333333333333,0.07939583333333337
C3,0.084,WT,UCSD + micronutrients,1,acetate,2021-08-31,2,0.8788888888888889,0.07939583333333337
