clock_time,strain,growth_medium,od_600nm
9:35,wt,acetate,0.022
9:35,delta_glt,acetate,0.022
9:35,delta_his,acetate,0.021
9:36,delta_flh,acetate,0.024
9:36,delta_dpp,acetate,0.027
9:37,delta_opp,acetate,0.024
9:37,delta_nmp,acetate,0.032
9:38,delta_rbs,acetate,0.033
9:57,wt,acetate,0.027
9:58,delta_glt,acetate,0.03
9:58,delta_his,acetate,0.025
9:59,delta_flh,acetate,0.029
9:59,delta_dpp,acetate,0.031
10:00,delta_opp,acetate,0.028
10:00,delta_nmp,acetate,0.042
10:00,delta_rbs,acetate,0.042
10:21,wt,acetate,0.026
10:22,delta_glt,acetate,0.029
10:22,delta_his,acetate,0.024
10:22,delta_flh,acetate,0.032
10:23,delta_dpp,acetate,0.033
10:24,delta_nmp,acetate,0.043
10:24,delta_rbs,acetate,0.05
10:46,wt,acetate,0.04
10:47,delta_glt,acetate,0.041
10:47,delta_his,acetate,0.039
10:48,delta_flh,acetate,0.045
10:48,delta_dpp,acetate,0.04
10:49,delta_opp,acetate,0.044
10:49,delta_nmp,acetate,0.056
10:50,delta_rbs,acetate,0.06
11:11,wt,acetate,0.046
11:12,delta_glt,acetate,0.049
11:12,delta_his,acetate,0.041
11:12,delta_flh,acetate,0.057
11:13,delta_dpp,acetate,0.048
11:13,delta_opp,acetate,0.05
11:14,delta_nmp,acetate,0.067
11:14,delta_rbs,acetate,0.075
11:35,wt,acetate,0.055
11:36,delta_glt,acetate,0.058
11:36,delta_his,acetate,0.053
11:37,delta_flh,acetate,0.067
11:37,delta_dpp,acetate,0.057
11:38,delta_nmp,acetate,0.082
11:38,delta_rbs,acetate,0.088
12:00,wt,acetate,0.069
12:00,delta_glt,acetate,0.072
12:00,delta_his,acetate,0.066
12:01,delta_flh,acetate,0.081
12:01,delta_dpp,acetate,0.066
12:01,delta_opp,acetate,0.075
12:02,delta_nmp,acetate,0.096
12:02,delta_rbs,acetate,0.108
12:24,wt,acetate,0.08
12:24,delta_glt,acetate,0.09
12:25,delta_his,acetate,0.072
12:26,delta_dpp,acetate,0.083
12:26,delta_opp,acetate,0.088
12:26,delta_nmp,acetate,0.116
12:27,delta_rbs,acetate,0.134
12:27,wt,glucose,0.031
12:27,delta_glt,glucose,0.032
12:28,delta_his,glucose,0.035
12:28,delta_flh,glucose,0.029
12:29,delta_dpp,glucose,0.028
12:29,delta_opp,glucose,0.02
12:30,delta_nmp,glucose,0.029
12:30,delta_rbs,glucose,0.043
12:48,wt,acetate,0.097
12:48,delta_glt,acetate,0.103
12:49,delta_his,acetate,0.088
12:50,delta_dpp,acetate,0.107
12:50,delta_opp,acetate,0.103
12:50,delta_nmp,acetate,0.144
12:51,delta_rbs,acetate,0.162
12:51,wt,glucose,0.041
12:52,delta_glt,glucose,0.043
12:52,delta_his,glucose,0.046
12:53,delta_flh,glucose,0.043
12:53,delta_dpp,glucose,0.045
12:54,delta_opp,glucose,0.04
12:54,delta_nmp,glucose,0.042
12:54,delta_rbs,glucose,0.054
13:12,wt,acetate,0.121
13:13,delta_glt,acetate,0.126
13:13,delta_his,acetate,0.107
13:14,delta_flh,acetate,0.147
13:14,delta_dpp,acetate,0.123
13:15,delta_opp,acetate,0.127
13:15,delta_nmp,acetate,0.178
13:16,delta_rbs,acetate,0.198
13:16,wt,glucose,0.06
13:17,delta_glt,glucose,0.061
13:17,delta_his,glucose,0.067
13:18,delta_flh,glucose,0.062
13:18,delta_dpp,glucose,0.056
13:18,delta_opp,glucose,0.042
13:19,delta_nmp,glucose,0.056
13:19,delta_rbs,glucose,0.078
13:39,wt,acetate,0.145
13:39,delta_glt,acetate,0.156
13:39,delta_his,acetate,0.128
13:40,delta_flh,acetate,0.177
13:40,delta_dpp,acetate,0.15
13:41,delta_opp,acetate,0.154
13:41,delta_nmp,acetate,0.211
13:42,delta_rbs,acetate,0.251
13:42,wt,glucose,0.087
13:43,delta_glt,glucose,0.086
13:43,delta_his,glucose,0.094
13:44,delta_flh,glucose,0.091
13:44,delta_dpp,glucose,0.079
13:44,delta_opp,glucose,0.059
13:45,delta_nmp,glucose,0.082
13:45,delta_rbs,glucose,0.116
14:08,wt,acetate,0.182
14:08,delta_glt,acetate,0.191
14:09,delta_his,acetate,0.16
14:10,delta_flh,acetate,0.227
14:10,delta_dpp,acetate,0.188
14:11,delta_opp,acetate,0.188
14:11,delta_nmp,acetate,0.268
14:12,delta_rbs,acetate,0.319
14:12,wt,glucose,0.138
14:13,delta_glt,glucose,0.137
14:13,delta_his,glucose,0.147
14:14,delta_flh,glucose,0.144
14:15,delta_dpp,glucose,0.124
14:15,delta_opp,glucose,0.083
14:15,delta_nmp,glucose,0.131
14:16,delta_rbs,glucose,0.179
14:36,wt,acetate,0.229
14:37,delta_glt,acetate,0.239
14:37,delta_his,acetate,0.196
14:38,delta_flh,acetate,0.269
14:38,delta_dpp,acetate,0.232
14:39,delta_opp,acetate,0.233
14:39,delta_nmp,acetate,0.325
14:40,delta_rbs,acetate,0.37
14:40,wt,glucose,0.211
14:41,delta_glt,glucose,0.213
14:41,delta_his,glucose,0.225
14:42,delta_flh,glucose,0.218
14:43,delta_opp,glucose,0.117
14:43,delta_nmp,glucose,0.197
14:44,delta_rbs,glucose,0.289
14:54,wt,acetate,0.259
14:54,delta_glt,acetate,0.271
14:55,delta_his,acetate,0.225
14:55,delta_flh,acetate,0.299
14:56,delta_dpp,acetate,0.264
14:57,delta_nmp,acetate,0.371
14:57,delta_rbs,acetate,0.446
14:58,wt,glucose,0.276
14:58,delta_glt,glucose,0.272
14:59,delta_his,glucose,0.297
14:59,delta_flh,glucose,0.294
15:00,delta_dpp,glucose,0.249
15:00,delta_opp,glucose,0.15
15:01,delta_nmp,glucose,0.264
15:01,delta_rbs,glucose,0.379
15:15,wt,acetate,0.3
15:15,delta_glt,acetate,0.31
15:15,delta_his,acetate,0.263
15:16,delta_flh,acetate,0.348
15:16,delta_dpp,acetate,0.308
15:17,delta_opp,acetate,0.302
15:17,delta_nmp,acetate,0.425
15:18,wt,glucose,0.377
15:18,delta_glt,glucose,0.381
15:19,delta_his,glucose,0.403
15:19,delta_flh,glucose,0.392
15:20,delta_dpp,glucose,0.341
15:20,delta_opp,glucose,0.193
15:21,delta_nmp,glucose,0.359
15:21,delta_rbs,glucose,0.517
15:32,wt,acetate,0.336
15:32,delta_glt,acetate,0.356
15:33,delta_his,acetate,0.297
15:33,delta_flh,acetate,0.386
15:34,delta_dpp,acetate,0.351
15:34,delta_opp,acetate,0.343
15:35,wt,glucose,0.492
15:35,delta_glt,glucose,0.484
15:36,delta_flh,glucose,0.513
15:37,delta_opp,glucose,0.242
15:37,delta_nmp,glucose,0.445
15:47,wt,acetate,0.372
15:48,delta_glt,acetate,0.396
15:48,delta_his,acetate,0.327
15:59,delta_flh,acetate,0.44
15:49,delta_dpp,acetate,0.383
15:50,delta_opp,acetate,0.376
15:50,delta_opp,glucose,0.298
16:05,wt,acetate,0.421
16:05,delta_his,acetate,0.369
16:06,delta_dpp,acetate,0.416
16:06,delta_opp,acetate,0.419
16:07,delta_opp,glucosee,0.374
16:18,delta_his,acetate,0.395
16:18,delta_opp,glucose,0.446
