well,od_600nm,identifier,replicate,growth_medium,date,elapsed_time_hr,avg_blank_value,strain,class
C3,0.099,GC030,1,glucose,2021-07-21,0.0,0.07896296296296296,∆glt,Single KO
C4,0.091,GC029,1,glucose,2021-07-21,0.0,0.07896296296296296,∆flh,Single KO
C5,0.109,GC050,1,glucose,2021-07-21,0.0,0.07896296296296296,∆rbs,Single KO
C6,0.099,GC048,1,glucose,2021-07-21,0.0,0.07896296296296296,∆dpp,Single KO
C7,0.084,GC053,1,glucose,2021-07-21,0.0,0.07896296296296296,∆opp,Single KO
C8,0.1,GC032,1,glucose,2021-07-21,0.0,0.07896296296296296,∆mal,Single KO
C9,0.097,GC049,1,glucose,2021-07-21,0.0,0.07896296296296296,∆pot,Single KO
C10,0.101,GC052,1,glucose,2021-07-21,0.0,0.07896296296296296,∆nmp,Single KO
D3,0.099,GC030,2,glucose,2021-07-21,0.0,0.07896296296296296,∆glt,Single KO
D4,0.089,GC029,2,glucose,2021-07-21,0.0,0.07896296296296296,∆flh,Single KO
D5,0.108,GC050,2,glucose,2021-07-21,0.0,0.07896296296296296,∆rbs,Single KO
D6,0.1,GC048,2,glucose,2021-07-21,0.0,0.07896296296296296,∆dpp,Single KO
D7,0.084,GC053,2,glucose,2021-07-21,0.0,0.07896296296296296,∆opp,Single KO
D8,0.099,GC032,2,glucose,2021-07-21,0.0,0.07896296296296296,∆mal,Single KO
D9,0.096,GC049,2,glucose,2021-07-21,0.0,0.07896296296296296,∆pot,Single KO
D10,0.1,GC052,2,glucose,2021-07-21,0.0,0.07896296296296296,∆nmp,Single KO
E3,0.097,GC030,3,glucose,2021-07-21,0.0,0.07896296296296296,∆glt,Single KO
E4,0.089,GC029,3,glucose,2021-07-21,0.0,0.07896296296296296,∆flh,Single KO
E5,0.108,GC050,3,glucose,2021-07-21,0.0,0.07896296296296296,∆rbs,Single KO
E6,0.099,GC048,3,glucose,2021-07-21,0.0,0.07896296296296296,∆dpp,Single KO
E7,0.085,GC053,3,glucose,2021-07-21,0.0,0.07896296296296296,∆opp,Single KO
E8,0.101,GC032,3,glucose,2021-07-21,0.0,0.07896296296296296,∆mal,Single KO
E9,0.096,GC049,3,glucose,2021-07-21,0.0,0.07896296296296296,∆pot,Single KO
E10,0.101,GC052,3,glucose,2021-07-21,0.0,0.07896296296296296,∆nmp,Single KO
F3,0.095,GC055,1,glucose,2021-07-21,0.0,0.07896296296296296,∆mgl,Single KO
F4,0.093,GC055,2,glucose,2021-07-21,0.0,0.07896296296296296,∆mgl,Single KO
F5,0.093,GC055,3,glucose,2021-07-21,0.0,0.07896296296296296,∆mgl,Single KO
F6,0.098,GC047,1,glucose,2021-07-21,0.0,0.07896296296296296,∆his,Single KO
F7,0.1,GC047,2,glucose,2021-07-21,0.0,0.07896296296296296,∆his,Single KO
F8,0.096,GC047,3,glucose,2021-07-21,0.0,0.07896296296296296,∆his,Single KO
F9,0.091,GC001,1,glucose,2021-07-21,0.0,0.07896296296296296,WT,WT
F10,0.092,GC001,2,glucose,2021-07-21,0.0,0.07896296296296296,WT,WT
F11,0.089,GC001,3,glucose,2021-07-21,0.0,0.07896296296296296,WT,WT
C3,0.101,GC030,1,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆glt,Single KO
C4,0.092,GC029,1,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆flh,Single KO
C5,0.112,GC050,1,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆rbs,Single KO
C6,0.101,GC048,1,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆dpp,Single KO
C7,0.084,GC053,1,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆opp,Single KO
C8,0.101,GC032,1,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆mal,Single KO
C9,0.097,GC049,1,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆pot,Single KO
C10,0.103,GC052,1,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆nmp,Single KO
D3,0.1,GC030,2,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆glt,Single KO
D4,0.09,GC029,2,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆flh,Single KO
D5,0.111,GC050,2,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆rbs,Single KO
D6,0.101,GC048,2,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆dpp,Single KO
D7,0.084,GC053,2,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆opp,Single KO
D8,0.1,GC032,2,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆mal,Single KO
D9,0.096,GC049,2,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆pot,Single KO
D10,0.102,GC052,2,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆nmp,Single KO
E3,0.099,GC030,3,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆glt,Single KO
E4,0.09,GC029,3,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆flh,Single KO
E5,0.111,GC050,3,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆rbs,Single KO
E6,0.101,GC048,3,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆dpp,Single KO
E7,0.085,GC053,3,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆opp,Single KO
E8,0.101,GC032,3,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆mal,Single KO
E9,0.097,GC049,3,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆pot,Single KO
E10,0.103,GC052,3,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆nmp,Single KO
F3,0.096,GC055,1,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆mgl,Single KO
F4,0.094,GC055,2,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆mgl,Single KO
F5,0.094,GC055,3,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆mgl,Single KO
F6,0.099,GC047,1,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆his,Single KO
F7,0.1,GC047,2,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆his,Single KO
F8,0.097,GC047,3,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,∆his,Single KO
F9,0.092,GC001,1,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,WT,WT
F10,0.093,GC001,2,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,WT,WT
F11,0.09,GC001,3,glucose,2021-07-21,0.12555555555555556,0.07907407407407409,WT,WT
C3,0.103,GC030,1,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆glt,Single KO
C4,0.093,GC029,1,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆flh,Single KO
C5,0.116,GC050,1,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆rbs,Single KO
C6,0.104,GC048,1,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆dpp,Single KO
C7,0.085,GC053,1,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆opp,Single KO
C8,0.102,GC032,1,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆mal,Single KO
C9,0.098,GC049,1,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆pot,Single KO
C10,0.105,GC052,1,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆nmp,Single KO
D3,0.102,GC030,2,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆glt,Single KO
D4,0.091,GC029,2,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆flh,Single KO
D5,0.115,GC050,2,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆rbs,Single KO
D6,0.103,GC048,2,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆dpp,Single KO
D7,0.085,GC053,2,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆opp,Single KO
D8,0.102,GC032,2,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆mal,Single KO
D9,0.098,GC049,2,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆pot,Single KO
D10,0.104,GC052,2,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆nmp,Single KO
E3,0.1,GC030,3,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆glt,Single KO
E4,0.094,GC029,3,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆flh,Single KO
E5,0.115,GC050,3,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆rbs,Single KO
E6,0.103,GC048,3,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆dpp,Single KO
E7,0.086,GC053,3,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆opp,Single KO
E8,0.103,GC032,3,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆mal,Single KO
E9,0.098,GC049,3,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆pot,Single KO
E10,0.105,GC052,3,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆nmp,Single KO
F3,0.096,GC055,1,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆mgl,Single KO
F4,0.095,GC055,2,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆mgl,Single KO
F5,0.096,GC055,3,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆mgl,Single KO
F6,0.1,GC047,1,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆his,Single KO
F7,0.102,GC047,2,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆his,Single KO
F8,0.099,GC047,3,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,∆his,Single KO
F9,0.094,GC001,1,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,WT,WT
F10,0.094,GC001,2,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,WT,WT
F11,0.091,GC001,3,glucose,2021-07-21,0.2511111111111111,0.07896296296296297,WT,WT
C3,0.104,GC030,1,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆glt,Single KO
C4,0.094,GC029,1,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆flh,Single KO
C5,0.12,GC050,1,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆rbs,Single KO
C6,0.105,GC048,1,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆dpp,Single KO
C7,0.085,GC053,1,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆opp,Single KO
C8,0.104,GC032,1,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆mal,Single KO
C9,0.1,GC049,1,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆pot,Single KO
C10,0.107,GC052,1,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆nmp,Single KO
D3,0.103,GC030,2,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆glt,Single KO
D4,0.092,GC029,2,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆flh,Single KO
D5,0.118,GC050,2,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆rbs,Single KO
D6,0.105,GC048,2,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆dpp,Single KO
D7,0.085,GC053,2,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆opp,Single KO
D8,0.104,GC032,2,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆mal,Single KO
D9,0.099,GC049,2,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆pot,Single KO
D10,0.106,GC052,2,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆nmp,Single KO
E3,0.102,GC030,3,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆glt,Single KO
E4,0.092,GC029,3,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆flh,Single KO
E5,0.119,GC050,3,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆rbs,Single KO
E6,0.104,GC048,3,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆dpp,Single KO
E7,0.086,GC053,3,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆opp,Single KO
E8,0.105,GC032,3,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆mal,Single KO
E9,0.099,GC049,3,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆pot,Single KO
E10,0.108,GC052,3,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆nmp,Single KO
F3,0.098,GC055,1,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆mgl,Single KO
F4,0.096,GC055,2,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆mgl,Single KO
F5,0.097,GC055,3,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆mgl,Single KO
F6,0.101,GC047,1,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆his,Single KO
F7,0.103,GC047,2,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆his,Single KO
F8,0.1,GC047,3,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,∆his,Single KO
F9,0.095,GC001,1,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,WT,WT
F10,0.095,GC001,2,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,WT,WT
F11,0.092,GC001,3,glucose,2021-07-21,0.37666666666666665,0.07918518518518518,WT,WT
C3,0.106,GC030,1,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆glt,Single KO
C4,0.096,GC029,1,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆flh,Single KO
C5,0.125,GC050,1,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆rbs,Single KO
C6,0.107,GC048,1,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆dpp,Single KO
C7,0.086,GC053,1,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆opp,Single KO
C8,0.107,GC032,1,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆mal,Single KO
C9,0.102,GC049,1,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆pot,Single KO
C10,0.109,GC052,1,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆nmp,Single KO
D3,0.105,GC030,2,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆glt,Single KO
D4,0.093,GC029,2,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆flh,Single KO
D5,0.123,GC050,2,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆rbs,Single KO
D6,0.107,GC048,2,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆dpp,Single KO
D7,0.086,GC053,2,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆opp,Single KO
D8,0.106,GC032,2,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆mal,Single KO
D9,0.101,GC049,2,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆pot,Single KO
D10,0.108,GC052,2,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆nmp,Single KO
E3,0.104,GC030,3,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆glt,Single KO
E4,0.093,GC029,3,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆flh,Single KO
E5,0.123,GC050,3,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆rbs,Single KO
E6,0.106,GC048,3,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆dpp,Single KO
E7,0.087,GC053,3,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆opp,Single KO
E8,0.107,GC032,3,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆mal,Single KO
E9,0.101,GC049,3,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆pot,Single KO
E10,0.109,GC052,3,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆nmp,Single KO
F3,0.099,GC055,1,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆mgl,Single KO
F4,0.098,GC055,2,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆mgl,Single KO
F5,0.098,GC055,3,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆mgl,Single KO
F6,0.103,GC047,1,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆his,Single KO
F7,0.104,GC047,2,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆his,Single KO
F8,0.102,GC047,3,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,∆his,Single KO
F9,0.096,GC001,1,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,WT,WT
F10,0.096,GC001,2,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,WT,WT
F11,0.093,GC001,3,glucose,2021-07-21,0.5022222222222222,0.07922222222222221,WT,WT
C3,0.109,GC030,1,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆glt,Single KO
C4,0.098,GC029,1,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆flh,Single KO
C5,0.13,GC050,1,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆rbs,Single KO
C6,0.11,GC048,1,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆dpp,Single KO
C7,0.087,GC053,1,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆opp,Single KO
C8,0.109,GC032,1,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆mal,Single KO
C9,0.104,GC049,1,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆pot,Single KO
C10,0.113,GC052,1,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆nmp,Single KO
D3,0.108,GC030,2,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆glt,Single KO
D4,0.095,GC029,2,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆flh,Single KO
D5,0.129,GC050,2,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆rbs,Single KO
D6,0.11,GC048,2,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆dpp,Single KO
D7,0.086,GC053,2,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆opp,Single KO
D8,0.109,GC032,2,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆mal,Single KO
D9,0.103,GC049,2,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆pot,Single KO
D10,0.111,GC052,2,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆nmp,Single KO
E3,0.106,GC030,3,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆glt,Single KO
E4,0.095,GC029,3,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆flh,Single KO
E5,0.129,GC050,3,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆rbs,Single KO
E6,0.109,GC048,3,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆dpp,Single KO
E7,0.087,GC053,3,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆opp,Single KO
E8,0.11,GC032,3,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆mal,Single KO
E9,0.103,GC049,3,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆pot,Single KO
E10,0.113,GC052,3,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆nmp,Single KO
F3,0.101,GC055,1,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆mgl,Single KO
F4,0.1,GC055,2,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆mgl,Single KO
F5,0.1,GC055,3,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆mgl,Single KO
F6,0.105,GC047,1,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆his,Single KO
F7,0.107,GC047,2,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆his,Single KO
F8,0.104,GC047,3,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,∆his,Single KO
F9,0.098,GC001,1,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,WT,WT
F10,0.098,GC001,2,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,WT,WT
F11,0.095,GC001,3,glucose,2021-07-21,0.6277777777777778,0.07922222222222221,WT,WT
C3,0.112,GC030,1,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆glt,Single KO
C4,0.1,GC029,1,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆flh,Single KO
C5,0.136,GC050,1,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆rbs,Single KO
C6,0.113,GC048,1,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆dpp,Single KO
C7,0.088,GC053,1,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆opp,Single KO
C8,0.113,GC032,1,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆mal,Single KO
C9,0.106,GC049,1,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆pot,Single KO
C10,0.116,GC052,1,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆nmp,Single KO
D3,0.111,GC030,2,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆glt,Single KO
D4,0.098,GC029,2,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆flh,Single KO
D5,0.135,GC050,2,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆rbs,Single KO
D6,0.113,GC048,2,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆dpp,Single KO
D7,0.087,GC053,2,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆opp,Single KO
D8,0.113,GC032,2,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆mal,Single KO
D9,0.105,GC049,2,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆pot,Single KO
D10,0.115,GC052,2,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆nmp,Single KO
E3,0.109,GC030,3,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆glt,Single KO
E4,0.097,GC029,3,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆flh,Single KO
E5,0.135,GC050,3,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆rbs,Single KO
E6,0.113,GC048,3,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆dpp,Single KO
E7,0.088,GC053,3,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆opp,Single KO
E8,0.114,GC032,3,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆mal,Single KO
E9,0.105,GC049,3,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆pot,Single KO
E10,0.116,GC052,3,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆nmp,Single KO
F3,0.103,GC055,1,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆mgl,Single KO
F4,0.102,GC055,2,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆mgl,Single KO
F5,0.102,GC055,3,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆mgl,Single KO
F6,0.107,GC047,1,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆his,Single KO
F7,0.109,GC047,2,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆his,Single KO
F8,0.106,GC047,3,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,∆his,Single KO
F9,0.099,GC001,1,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,WT,WT
F10,0.099,GC001,2,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,WT,WT
F11,0.097,GC001,3,glucose,2021-07-21,0.7533333333333333,0.07933333333333333,WT,WT
C3,0.116,GC030,1,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆glt,Single KO
C4,0.102,GC029,1,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆flh,Single KO
C5,0.144,GC050,1,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆rbs,Single KO
C6,0.118,GC048,1,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆dpp,Single KO
C7,0.088,GC053,1,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆opp,Single KO
C8,0.117,GC032,1,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆mal,Single KO
C9,0.109,GC049,1,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆pot,Single KO
C10,0.12,GC052,1,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆nmp,Single KO
D3,0.115,GC030,2,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆glt,Single KO
D4,0.1,GC029,2,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆flh,Single KO
D5,0.143,GC050,2,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆rbs,Single KO
D6,0.117,GC048,2,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆dpp,Single KO
D7,0.088,GC053,2,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆opp,Single KO
D8,0.117,GC032,2,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆mal,Single KO
D9,0.107,GC049,2,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆pot,Single KO
D10,0.119,GC052,2,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆nmp,Single KO
E3,0.112,GC030,3,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆glt,Single KO
E4,0.099,GC029,3,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆flh,Single KO
E5,0.143,GC050,3,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆rbs,Single KO
E6,0.116,GC048,3,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆dpp,Single KO
E7,0.089,GC053,3,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆opp,Single KO
E8,0.117,GC032,3,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆mal,Single KO
E9,0.108,GC049,3,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆pot,Single KO
E10,0.121,GC052,3,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆nmp,Single KO
F3,0.105,GC055,1,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆mgl,Single KO
F4,0.104,GC055,2,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆mgl,Single KO
F5,0.105,GC055,3,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆mgl,Single KO
F6,0.11,GC047,1,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆his,Single KO
F7,0.112,GC047,2,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆his,Single KO
F8,0.109,GC047,3,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,∆his,Single KO
F9,0.101,GC001,1,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,WT,WT
F10,0.101,GC001,2,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,WT,WT
F11,0.099,GC001,3,glucose,2021-07-21,0.8788888888888889,0.07922222222222221,WT,WT
C3,0.12,GC030,1,glucose,2021-07-21,1.0044444444444445,0.07922222222222221,∆glt,Single KO
C4,0.105,GC029,1,glucose,2021-07-21,1.0044444444444445,0.07922222222222221,∆flh,Single KO
C5,0.153,GC050,1,glucose,2021-07-21,1.0044444444444445,0.07922222222222221,∆rbs,Single KO
C6,0.12,GC048,1,glucose,2021-07-21,1.0044444444444445,0.07922222222222221,∆dpp,Single KO
C7,0.089,GC053,1,glucose,2021-07-21,1.0044444444444445,0.07922222222222221,∆opp,Single KO
C8,0.121,GC032,1,glucose,2021-07-21,1.0044444444444445,0.07922222222222221,∆mal,Single KO
C9,0.112,GC049,1,glucose,2021-07-21,1.0044444444444445,0.07922222222222221,∆pot,Single KO
