well,od_600nm,identifier,replicate,growth_medium,date,run_number,elapsed_time_hr,avg_blank_value,strain,class
C3,0.094,GC086,1,acetate,2021-08-20,2,0.0,0.07892592592592594,∆mal ∆flh,Double KO
C4,0.101,GC093,1,acetate,2021-08-20,2,0.0,0.07892592592592594,∆pot ∆flh,Double KO
C5,0.093,GC077,1,acetate,2021-08-20,2,0.0,0.07892592592592594,∆nmp ∆dpp,Double KO
C6,0.091,GC083,1,acetate,2021-08-20,2,0.0,0.07892592592592594,∆opp ∆dpp,Double KO
C7,0.093,GC095,1,acetate,2021-08-20,2,0.0,0.07892592592592594,∆pot ∆dpp,Double KO
C8,0.12,GC081,1,acetate,2021-08-20,2,0.0,0.07892592592592594,∆his ∆dpp,Double KO
C9,0.093,GC080,1,acetate,2021-08-20,2,0.0,0.07892592592592594,∆mgl ∆dpp,Double KO
C10,0.094,GC107,1,acetate,2021-08-20,2,0.0,0.07892592592592594,∆mal ∆dpp,Double KO
D3,0.095,GC086,2,acetate,2021-08-20,2,0.0,0.07892592592592594,∆mal ∆flh,Double KO
D4,0.097,GC093,2,acetate,2021-08-20,2,0.0,0.07892592592592594,∆pot ∆flh,Double KO
D5,0.09,GC077,2,acetate,2021-08-20,2,0.0,0.07892592592592594,∆nmp ∆dpp,Double KO
D6,0.095,GC083,2,acetate,2021-08-20,2,0.0,0.07892592592592594,∆opp ∆dpp,Double KO
D7,0.094,GC095,2,acetate,2021-08-20,2,0.0,0.07892592592592594,∆pot ∆dpp,Double KO
D8,0.117,GC081,2,acetate,2021-08-20,2,0.0,0.07892592592592594,∆his ∆dpp,Double KO
D9,0.092,GC080,2,acetate,2021-08-20,2,0.0,0.07892592592592594,∆mgl ∆dpp,Double KO
D10,0.094,GC107,2,acetate,2021-08-20,2,0.0,0.07892592592592594,∆mal ∆dpp,Double KO
E3,0.093,GC086,3,acetate,2021-08-20,2,0.0,0.07892592592592594,∆mal ∆flh,Double KO
