clock_time,od_600nm,carbon_source,strain,date
14:51,0.087,glucose,GC001,2022-02-02
15:07,0.112,glucose,GC001,2022-02-02
15:19,0.132,glucose,GC001,2022-02-02
15:33,0.168,glucose,GC001,2022-02-02
15:59,0.245,glucose,GC001,2022-02-02
16:19,0.35,glucose,GC001,2022-02-02
