strain,elapsed_time_hr,od_600nm,technical_replicate,growth_medium,date,run_number,identifier,class
WT,0.0,0.012074074074074057,1,proline,2021-09-02,1,GC001,WT
WT,0.12555555555555564,0.012074074074074057,1,proline,2021-09-02,1,GC001,WT
WT,0.2511111111111113,0.013074074074074057,1,proline,2021-09-02,1,GC001,WT
WT,0.3766666666666669,0.013037037037037028,1,proline,2021-09-02,1,GC001,WT
WT,0.5022222222222226,0.014074074074074058,1,proline,2021-09-02,1,GC001,WT
WT,0.6277777777777782,0.015111111111111103,1,proline,2021-09-02,1,GC001,WT
WT,0.7533333333333339,0.01507407407407406,1,proline,2021-09-02,1,GC001,WT
WT,0.8788888888888895,0.01603703703703703,1,proline,2021-09-02,1,GC001,WT
WT,1.0044444444444451,0.01703703703703703,1,proline,2021-09-02,1,GC001,WT
WT,1.129999999999999,0.017962962962962944,1,proline,2021-09-02,1,GC001,WT
WT,1.2555555555555546,0.019074074074074063,1,proline,2021-09-02,1,GC001,WT
WT,1.3811111111111103,0.020037037037037034,1,proline,2021-09-02,1,GC001,WT
WT,0.0,0.012074074074074057,2,proline,2021-09-02,1,GC001,WT
WT,0.12555555555555564,0.012074074074074057,2,proline,2021-09-02,1,GC001,WT
WT,0.2511111111111113,0.013074074074074057,2,proline,2021-09-02,1,GC001,WT
WT,0.3766666666666669,0.014037037037037028,2,proline,2021-09-02,1,GC001,WT
WT,0.5022222222222226,0.014074074074074058,2,proline,2021-09-02,1,GC001,WT
WT,0.6277777777777782,0.015111111111111103,2,proline,2021-09-02,1,GC001,WT
WT,0.7533333333333339,0.01607407407407406,2,proline,2021-09-02,1,GC001,WT
WT,0.8788888888888895,0.01703703703703703,2,proline,2021-09-02,1,GC001,WT
WT,1.0044444444444451,0.018037037037037032,2,proline,2021-09-02,1,GC001,WT
WT,1.129999999999999,0.018962962962962945,2,proline,2021-09-02,1,GC001,WT
WT,1.2555555555555546,0.020074074074074064,2,proline,2021-09-02,1,GC001,WT
WT,1.3811111111111103,0.02203703703703702,2,proline,2021-09-02,1,GC001,WT
WT,0.0,0.012037037037037027,3,proline,2021-09-02,1,GC001,WT
WT,0.12555555555555564,0.013074074074074057,3,proline,2021-09-02,1,GC001,WT
WT,0.2511111111111113,0.013111111111111101,3,proline,2021-09-02,1,GC001,WT
WT,0.3766666666666669,0.014074074074074058,3,proline,2021-09-02,1,GC001,WT
WT,0.5022222222222226,0.01503703703703703,3,proline,2021-09-02,1,GC001,WT
WT,0.6277777777777782,0.01603703703703703,3,proline,2021-09-02,1,GC001,WT
WT,0.7533333333333321,0.016962962962962944,3,proline,2021-09-02,1,GC001,WT
WT,0.8788888888888877,0.018074074074074062,3,proline,2021-09-02,1,GC001,WT
WT,1.0044444444444434,0.020037037037037034,3,proline,2021-09-02,1,GC001,WT
∆dpp,0.0,0.012185185185185174,1,proline,2021-09-02,1,GC048,Single KO
∆dpp,0.12555555555555564,0.012148148148148144,1,proline,2021-09-02,1,GC048,Single KO
∆dpp,0.2511111111111113,0.012148148148148144,1,proline,2021-09-02,1,GC048,Single KO
∆dpp,0.3766666666666669,0.013185185185185175,1,proline,2021-09-02,1,GC048,Single KO
∆dpp,0.5022222222222226,0.014037037037037028,1,proline,2021-09-02,1,GC048,Single KO
∆dpp,0.6277777777777782,0.015148148148148147,1,proline,2021-09-02,1,GC048,Single KO
∆dpp,0.7533333333333339,0.01607407407407406,1,proline,2021-09-02,1,GC048,Single KO
∆dpp,0.8788888888888895,0.01607407407407406,1,proline,2021-09-02,1,GC048,Single KO
∆dpp,1.0044444444444451,0.01707407407407406,1,proline,2021-09-02,1,GC048,Single KO
∆dpp,1.1300000000000008,0.019037037037037033,1,proline,2021-09-02,1,GC048,Single KO
∆dpp,1.2555555555555564,0.020074074074074064,1,proline,2021-09-02,1,GC048,Single KO
∆dpp,1.381111111111112,0.021111111111111094,1,proline,2021-09-02,1,GC048,Single KO
∆dpp,1.5066666666666677,0.02207407407407405,1,proline,2021-09-02,1,GC048,Single KO
∆dpp,1.6322222222222234,0.024037037037037023,1,proline,2021-09-02,1,GC048,Single KO
∆dpp,1.757777777777779,0.025037037037037024,1,proline,2021-09-02,1,GC048,Single KO
∆dpp,1.8833333333333329,0.02696296296296294,1,proline,2021-09-02,1,GC048,Single KO
∆dpp,2.0088888888888885,0.029074074074074058,1,proline,2021-09-02,1,GC048,Single KO
∆dpp,2.134444444444444,0.03103703703703703,1,proline,2021-09-02,1,GC048,Single KO
∆dpp,0.0,0.012148148148148144,2,proline,2021-09-02,1,GC048,Single KO
∆dpp,0.12555555555555564,0.012148148148148144,2,proline,2021-09-02,1,GC048,Single KO
∆dpp,0.2511111111111113,0.013185185185185175,2,proline,2021-09-02,1,GC048,Single KO
∆dpp,0.3766666666666669,0.014037037037037028,2,proline,2021-09-02,1,GC048,Single KO
∆dpp,0.5022222222222226,0.014148148148148146,2,proline,2021-09-02,1,GC048,Single KO
∆dpp,0.6277777777777782,0.01507407407407406,2,proline,2021-09-02,1,GC048,Single KO
∆dpp,0.7533333333333339,0.01607407407407406,2,proline,2021-09-02,1,GC048,Single KO
∆dpp,0.8788888888888895,0.01707407407407406,2,proline,2021-09-02,1,GC048,Single KO
∆dpp,1.0044444444444451,0.018037037037037032,2,proline,2021-09-02,1,GC048,Single KO
∆dpp,1.1300000000000008,0.019074074074074063,2,proline,2021-09-02,1,GC048,Single KO
∆dpp,1.2555555555555564,0.020111111111111107,2,proline,2021-09-02,1,GC048,Single KO
∆dpp,1.381111111111112,0.02107407407407405,2,proline,2021-09-02,1,GC048,Single KO
∆dpp,1.5066666666666677,0.023037037037037023,2,proline,2021-09-02,1,GC048,Single KO
∆dpp,1.6322222222222234,0.024037037037037023,2,proline,2021-09-02,1,GC048,Single KO
∆dpp,1.7577777777777772,0.025962962962962938,2,proline,2021-09-02,1,GC048,Single KO
∆dpp,1.8833333333333329,0.028074074074074057,2,proline,2021-09-02,1,GC048,Single KO
∆dpp,2.0088888888888885,0.03003703703703703,2,proline,2021-09-02,1,GC048,Single KO
∆dpp,0.0,0.012148148148148144,3,proline,2021-09-02,1,GC048,Single KO
∆dpp,0.12555555555555564,0.012185185185185174,3,proline,2021-09-02,1,GC048,Single KO
∆dpp,0.2511111111111113,0.013037037037037028,3,proline,2021-09-02,1,GC048,Single KO
∆dpp,0.3766666666666669,0.014148148148148146,3,proline,2021-09-02,1,GC048,Single KO
∆dpp,0.5022222222222226,0.01507407407407406,3,proline,2021-09-02,1,GC048,Single KO
∆dpp,0.6277777777777782,0.01607407407407406,3,proline,2021-09-02,1,GC048,Single KO
∆dpp,0.7533333333333339,0.01707407407407406,3,proline,2021-09-02,1,GC048,Single KO
∆dpp,0.8788888888888895,0.018037037037037032,3,proline,2021-09-02,1,GC048,Single KO
∆dpp,1.0044444444444451,0.019074074074074063,3,proline,2021-09-02,1,GC048,Single KO
∆dpp,1.1300000000000008,0.020111111111111107,3,proline,2021-09-02,1,GC048,Single KO
∆dpp,1.2555555555555564,0.02207407407407405,3,proline,2021-09-02,1,GC048,Single KO
∆dpp,1.381111111111112,0.023037037037037023,3,proline,2021-09-02,1,GC048,Single KO
∆dpp,1.5066666666666677,0.025037037037037024,3,proline,2021-09-02,1,GC048,Single KO
∆dpp,1.6322222222222216,0.02696296296296294,3,proline,2021-09-02,1,GC048,Single KO
∆dpp,1.7577777777777772,0.028074074074074057,3,proline,2021-09-02,1,GC048,Single KO
∆dpp,1.8833333333333329,0.03003703703703703,3,proline,2021-09-02,1,GC048,Single KO
∆flh,0.0,0.021370370370370387,1,proline,2021-09-02,1,GC029,Single KO
∆flh,0.12555555555555556,0.0212962962962963,1,proline,2021-09-02,1,GC029,Single KO
∆flh,0.2511111111111111,0.021407407407407417,1,proline,2021-09-02,1,GC029,Single KO
∆flh,0.37666666666666665,0.02233333333333333,1,proline,2021-09-02,1,GC029,Single KO
∆flh,0.5022222222222222,0.022370370370370374,1,proline,2021-09-02,1,GC029,Single KO
∆flh,0.6277777777777778,0.023296296296296287,1,proline,2021-09-02,1,GC029,Single KO
∆flh,0.7533333333333333,0.023259259259259257,1,proline,2021-09-02,1,GC029,Single KO
∆flh,0.8788888888888889,0.024185185185185185,1,proline,2021-09-02,1,GC029,Single KO
∆flh,1.0044444444444445,0.024259259259259258,1,proline,2021-09-02,1,GC029,Single KO
∆flh,1.13,0.024259259259259258,1,proline,2021-09-02,1,GC029,Single KO
∆flh,1.2555555555555555,0.02525925925925926,1,proline,2021-09-02,1,GC029,Single KO
∆flh,1.3811111111111112,0.025185185185185185,1,proline,2021-09-02,1,GC029,Single KO
∆flh,1.5066666666666666,0.02607407407407407,1,proline,2021-09-02,1,GC029,Single KO
∆flh,1.6322222222222222,0.026185185185185186,1,proline,2021-09-02,1,GC029,Single KO
∆flh,1.7577777777777779,0.02725925925925926,1,proline,2021-09-02,1,GC029,Single KO
∆flh,1.8833333333333333,0.02707407407407407,1,proline,2021-09-02,1,GC029,Single KO
∆flh,2.008888888888889,0.028148148148148158,1,proline,2021-09-02,1,GC029,Single KO
∆flh,2.1344444444444446,0.028259259259259262,1,proline,2021-09-02,1,GC029,Single KO
∆flh,2.26,0.02914814814814816,1,proline,2021-09-02,1,GC029,Single KO
∆flh,2.3855555555555554,0.02918518518518519,1,proline,2021-09-02,1,GC029,Single KO
∆flh,2.511111111111111,0.030000000000000013,1,proline,2021-09-02,1,GC029,Single KO
∆flh,2.6366666666666667,0.030111111111111116,1,proline,2021-09-02,1,GC029,Single KO
∆flh,2.7622222222222224,0.031074074074074073,1,proline,2021-09-02,1,GC029,Single KO
∆flh,2.887777777777778,0.032037037037037044,1,proline,2021-09-02,1,GC029,Single KO
∆flh,3.013333333333333,0.03211111111111113,1,proline,2021-09-02,1,GC029,Single KO
∆flh,3.138888888888889,0.033074074074074075,1,proline,2021-09-02,1,GC029,Single KO
∆flh,3.2644444444444445,0.03318518518518519,1,proline,2021-09-02,1,GC029,Single KO
∆flh,3.39,0.034111111111111134,1,proline,2021-09-02,1,GC029,Single KO
∆flh,3.5155555555555558,0.03481481481481481,1,proline,2021-09-02,1,GC029,Single KO
∆flh,3.641111111111111,0.03500000000000002,1,proline,2021-09-02,1,GC029,Single KO
∆flh,3.7666666666666666,0.035962962962962974,1,proline,2021-09-02,1,GC029,Single KO
∆flh,3.8922222222222222,0.03707407407407408,1,proline,2021-09-02,1,GC029,Single KO
∆flh,4.017777777777778,0.037962962962962976,1,proline,2021-09-02,1,GC029,Single KO
∆flh,4.1433333333333335,0.03888888888888889,1,proline,2021-09-02,1,GC029,Single KO
∆flh,4.268888888888889,0.04000000000000001,1,proline,2021-09-02,1,GC029,Single KO
∆flh,4.394444444444445,0.04088888888888889,1,proline,2021-09-02,1,GC029,Single KO
∆flh,4.52,0.041777777777777775,1,proline,2021-09-02,1,GC029,Single KO
∆flh,4.645555555555555,0.042814814814814806,1,proline,2021-09-02,1,GC029,Single KO
∆flh,4.771111111111111,0.04385185185185185,1,proline,2021-09-02,1,GC029,Single KO
∆flh,4.8966666666666665,0.04470370370370372,1,proline,2021-09-02,1,GC029,Single KO
∆flh,5.022222222222222,0.04470370370370372,1,proline,2021-09-02,1,GC029,Single KO
∆flh,5.147777777777778,0.0465925925925926,1,proline,2021-09-02,1,GC029,Single KO
∆flh,5.273333333333333,0.04774074074074075,1,proline,2021-09-02,1,GC029,Single KO
∆flh,5.398888888888889,0.04874074074074075,1,proline,2021-09-02,1,GC029,Single KO
∆flh,5.524444444444445,0.049666666666666665,1,proline,2021-09-02,1,GC029,Single KO
∆flh,5.65,0.050666666666666665,1,proline,2021-09-02,1,GC029,Single KO
∆flh,5.775555555555556,0.05151851851851852,1,proline,2021-09-02,1,GC029,Single KO
∆flh,5.901111111111111,0.053777777777777785,1,proline,2021-09-02,1,GC029,Single KO
∆flh,6.026666666666666,0.05462962962962964,1,proline,2021-09-02,1,GC029,Single KO
∆flh,6.152222222222222,0.055703703703703714,1,proline,2021-09-02,1,GC029,Single KO
∆flh,6.277777777777778,0.05770370370370373,1,proline,2021-09-02,1,GC029,Single KO
∆flh,6.403333333333333,0.05877777777777779,1,proline,2021-09-02,1,GC029,Single KO
∆flh,6.528888888888889,0.05970370370370372,1,proline,2021-09-02,1,GC029,Single KO
∆flh,6.654444444444445,0.06059259259259257,1,proline,2021-09-02,1,GC029,Single KO
∆flh,6.78,0.06266666666666665,1,proline,2021-09-02,1,GC029,Single KO
∆flh,6.905555555555556,0.06362962962962962,1,proline,2021-09-02,1,GC029,Single KO
∆flh,7.0311111111111115,0.06551851851851849,1,proline,2021-09-02,1,GC029,Single KO
∆flh,7.156666666666666,0.06651851851851849,1,proline,2021-09-02,1,GC029,Single KO
∆flh,7.282222222222222,0.06848148148148146,1,proline,2021-09-02,1,GC029,Single KO
∆flh,7.407777777777778,0.07048148148148148,1,proline,2021-09-02,1,GC029,Single KO
∆flh,7.533333333333333,0.07137037037037035,1,proline,2021-09-02,1,GC029,Single KO
∆flh,7.658888888888889,0.07244444444444445,1,proline,2021-09-02,1,GC029,Single KO
∆flh,7.7844444444444445,0.07437037037037036,1,proline,2021-09-02,1,GC029,Single KO
∆flh,7.91,0.07648148148148148,1,proline,2021-09-02,1,GC029,Single KO
∆flh,8.035555555555556,0.07837037037037037,1,proline,2021-09-02,1,GC029,Single KO
∆flh,8.161111111111111,0.07925925925925924,1,proline,2021-09-02,1,GC029,Single KO
∆flh,8.286666666666667,0.08118518518518518,1,proline,2021-09-02,1,GC029,Single KO
∆flh,8.412222222222223,0.08318518518518518,1,proline,2021-09-02,1,GC029,Single KO
∆flh,8.537777777777778,0.08518518518518518,1,proline,2021-09-02,1,GC029,Single KO
∆flh,8.663333333333334,0.08722222222222223,1,proline,2021-09-02,1,GC029,Single KO
∆flh,8.78888888888889,0.08911111111111111,1,proline,2021-09-02,1,GC029,Single KO
∆flh,8.914444444444445,0.09118518518518516,1,proline,2021-09-02,1,GC029,Single KO
∆flh,9.04,0.09314814814814813,1,proline,2021-09-02,1,GC029,Single KO
∆flh,9.165555555555555,0.09618518518518517,1,proline,2021-09-02,1,GC029,Single KO
∆flh,9.29111111111111,0.0981111111111111,1,proline,2021-09-02,1,GC029,Single KO
∆flh,9.416666666666666,0.10007407407407407,1,proline,2021-09-02,1,GC029,Single KO
∆flh,9.542222222222222,0.10218518518518518,1,proline,2021-09-02,1,GC029,Single KO
∆flh,9.667777777777777,0.10518518518518517,1,proline,2021-09-02,1,GC029,Single KO
∆flh,9.793333333333333,0.10818518518518518,1,proline,2021-09-02,1,GC029,Single KO
∆flh,9.918888888888889,0.11014814814814815,1,proline,2021-09-02,1,GC029,Single KO
∆flh,10.044444444444444,0.11314814814814815,1,proline,2021-09-02,1,GC029,Single KO
∆flh,10.17,0.11618518518518518,1,proline,2021-09-02,1,GC029,Single KO
∆flh,10.295555555555556,0.11803703703703704,1,proline,2021-09-02,1,GC029,Single KO
∆flh,10.421111111111111,0.12114814814814816,1,proline,2021-09-02,1,GC029,Single KO
∆flh,10.546666666666667,0.12407407407407404,1,proline,2021-09-02,1,GC029,Single KO
∆flh,10.672222222222222,0.12707407407407406,1,proline,2021-09-02,1,GC029,Single KO
∆flh,10.797777777777778,0.13007407407407406,1,proline,2021-09-02,1,GC029,Single KO
∆flh,10.923333333333334,0.133037037037037,1,proline,2021-09-02,1,GC029,Single KO
∆flh,11.04888888888889,0.13707407407407407,1,proline,2021-09-02,1,GC029,Single KO
∆flh,11.174444444444445,0.1401111111111111,1,proline,2021-09-02,1,GC029,Single KO
∆flh,11.3,0.14307407407407408,1,proline,2021-09-02,1,GC029,Single KO
∆flh,11.425555555555556,0.14703703703703702,1,proline,2021-09-02,1,GC029,Single KO
∆flh,0.0,0.022370370370370374,2,proline,2021-09-02,1,GC029,Single KO
∆flh,0.12555555555555556,0.022296296296296286,2,proline,2021-09-02,1,GC029,Single KO
∆flh,0.2511111111111111,0.022407407407407404,2,proline,2021-09-02,1,GC029,Single KO
∆flh,0.37666666666666665,0.02233333333333333,2,proline,2021-09-02,1,GC029,Single KO
∆flh,0.5022222222222222,0.023370370370370375,2,proline,2021-09-02,1,GC029,Single KO
∆flh,0.6277777777777778,0.023296296296296287,2,proline,2021-09-02,1,GC029,Single KO
∆flh,0.7533333333333333,0.023259259259259257,2,proline,2021-09-02,1,GC029,Single KO
∆flh,0.8788888888888889,0.024185185185185185,2,proline,2021-09-02,1,GC029,Single KO
∆flh,1.0044444444444445,0.024259259259259258,2,proline,2021-09-02,1,GC029,Single KO
∆flh,1.13,0.02525925925925926,2,proline,2021-09-02,1,GC029,Single KO
∆flh,1.2555555555555555,0.02525925925925926,2,proline,2021-09-02,1,GC029,Single KO
∆flh,1.3811111111111112,0.026185185185185186,2,proline,2021-09-02,1,GC029,Single KO
∆flh,1.5066666666666666,0.02607407407407407,2,proline,2021-09-02,1,GC029,Single KO
