strain,water_source,micronutrients,elapsed_time_hr,od_600nm,growth_medium,technical_replicate,date,run_number
WT,CCSR,False,0.0,0.03185714285714285,acetate,1,2021-08-06,1
WT,CCSR,False,0.12555555555555564,0.03385714285714285,acetate,1,2021-08-06,1
WT,CCSR,False,0.2511111111111113,0.036000000000000004,acetate,1,2021-08-06,1
WT,CCSR,False,0.3766666666666669,0.038000000000000006,acetate,1,2021-08-06,1
WT,CCSR,False,0.5022222222222226,0.039999999999999994,acetate,1,2021-08-06,1
WT,CCSR,False,0.6277777777777782,0.041999999999999996,acetate,1,2021-08-06,1
WT,CCSR,False,0.7533333333333339,0.045071428571428554,acetate,1,2021-08-06,1
WT,CCSR,False,0.8788888888888895,0.04817857142857142,acetate,1,2021-08-06,1
WT,CCSR,False,1.0044444444444451,0.05092857142857142,acetate,1,2021-08-06,1
WT,CCSR,False,1.1300000000000008,0.05385714285714285,acetate,1,2021-08-06,1
WT,CCSR,False,1.2555555555555564,0.05689285714285715,acetate,1,2021-08-06,1
WT,CCSR,False,1.381111111111112,0.06003571428571429,acetate,1,2021-08-06,1
WT,CCSR,False,1.5066666666666677,0.06289285714285713,acetate,1,2021-08-06,1
WT,CCSR,False,1.6322222222222234,0.0659642857142857,acetate,1,2021-08-06,1
WT,CCSR,False,1.7577777777777772,0.07007142857142855,acetate,1,2021-08-06,1
WT,CCSR,False,1.8833333333333329,0.0739642857142857,acetate,1,2021-08-06,1
WT,CCSR,False,2.0088888888888885,0.07807142857142856,acetate,1,2021-08-06,1
WT,CCSR,False,2.134444444444444,0.08185714285714285,acetate,1,2021-08-06,1
WT,CCSR,False,2.26,0.08585714285714285,acetate,1,2021-08-06,1
WT,CCSR,False,2.3855555555555554,0.09000000000000001,acetate,1,2021-08-06,1
WT,CCSR,False,2.511111111111111,0.09374999999999997,acetate,1,2021-08-06,1
WT,CCSR,False,2.6366666666666667,0.09803571428571427,acetate,1,2021-08-06,1
WT,CCSR,False,0.0,0.03185714285714285,acetate,2,2021-08-06,1
WT,CCSR,False,0.12555555555555564,0.03385714285714285,acetate,2,2021-08-06,1
WT,CCSR,False,0.2511111111111113,0.036000000000000004,acetate,2,2021-08-06,1
WT,CCSR,False,0.3766666666666669,0.038000000000000006,acetate,2,2021-08-06,1
WT,CCSR,False,0.5022222222222226,0.039999999999999994,acetate,2,2021-08-06,1
WT,CCSR,False,0.6277777777777782,0.041999999999999996,acetate,2,2021-08-06,1
WT,CCSR,False,0.7533333333333339,0.045071428571428554,acetate,2,2021-08-06,1
WT,CCSR,False,0.8788888888888895,0.04817857142857142,acetate,2,2021-08-06,1
WT,CCSR,False,1.0044444444444451,0.05092857142857142,acetate,2,2021-08-06,1
WT,CCSR,False,1.1300000000000008,0.05385714285714285,acetate,2,2021-08-06,1
WT,CCSR,False,1.2555555555555564,0.05689285714285715,acetate,2,2021-08-06,1
WT,CCSR,False,1.381111111111112,0.06003571428571429,acetate,2,2021-08-06,1
WT,CCSR,False,1.5066666666666677,0.06289285714285713,acetate,2,2021-08-06,1
WT,CCSR,False,1.6322222222222234,0.0659642857142857,acetate,2,2021-08-06,1
WT,CCSR,False,1.7577777777777772,0.07007142857142855,acetate,2,2021-08-06,1
WT,CCSR,False,1.8833333333333329,0.0729642857142857,acetate,2,2021-08-06,1
WT,CCSR,False,2.0088888888888885,0.07707142857142855,acetate,2,2021-08-06,1
WT,CCSR,False,2.134444444444444,0.08085714285714285,acetate,2,2021-08-06,1
WT,CCSR,False,2.26,0.08485714285714285,acetate,2,2021-08-06,1
WT,CCSR,False,2.3855555555555554,0.08900000000000001,acetate,2,2021-08-06,1
WT,CCSR,False,2.511111111111111,0.09274999999999997,acetate,2,2021-08-06,1
WT,CCSR,False,2.6366666666666667,0.09703571428571427,acetate,2,2021-08-06,1
WT,CCSR,False,0.0,0.03089285714285714,acetate,3,2021-08-06,1
WT,CCSR,False,0.12555555555555564,0.03285714285714285,acetate,3,2021-08-06,1
WT,CCSR,False,0.2511111111111113,0.03485714285714285,acetate,3,2021-08-06,1
WT,CCSR,False,0.3766666666666669,0.036000000000000004,acetate,3,2021-08-06,1
WT,CCSR,False,0.5022222222222226,0.03899999999999999,acetate,3,2021-08-06,1
WT,CCSR,False,0.6277777777777782,0.040999999999999995,acetate,3,2021-08-06,1
WT,CCSR,False,0.7533333333333339,0.043,acetate,3,2021-08-06,1
WT,CCSR,False,0.8788888888888895,0.046071428571428555,acetate,3,2021-08-06,1
WT,CCSR,False,1.0044444444444451,0.04817857142857142,acetate,3,2021-08-06,1
WT,CCSR,False,1.1300000000000008,0.05092857142857142,acetate,3,2021-08-06,1
WT,CCSR,False,1.2555555555555564,0.05385714285714285,acetate,3,2021-08-06,1
WT,CCSR,False,1.381111111111112,0.05689285714285715,acetate,3,2021-08-06,1
WT,CCSR,False,1.5066666666666677,0.06003571428571429,acetate,3,2021-08-06,1
WT,CCSR,False,1.6322222222222234,0.06289285714285713,acetate,3,2021-08-06,1
WT,CCSR,False,1.757777777777779,0.0669642857142857,acetate,3,2021-08-06,1
WT,CCSR,False,1.8833333333333329,0.07007142857142855,acetate,3,2021-08-06,1
