phi_X,growth_rate_hr,source
0,1.0161490683229800,Bentley et al. 1990
7.207207207207210,0.8354764702590790,Bentley et al. 1990
9.72972972972973,0.7354708746013090,Bentley et al. 1990
18.28828828828830,0.5817917296178170,Bentley et al. 1990
0,0.9267080745341620,Scott et al. 2010
2.072072072072080,0.84172122432992,Scott et al. 2010
3.603603603603610,0.8338873034525210,Scott et al. 2010
17.65765765765770,0.482569526047787,Scott et al. 2010
15.495495495495500,0.4185104359017400,Scott et al. 2010
18.73873873873870,0.31832577919534400,Scott et al. 2010
25.49549549549550,0.25701975267192700,Scott et al. 2010
30.9009009009009,0.19853393766437200,Scott et al. 2010
29.63963963963960,0.057232387667170300,Dong et al. 1995
28.108108108108100,0.16196071848245800,Dong et al. 1995
27.117117117117100,0.16469139947400800,Dong et al. 1995
25.135135135135100,0.32170555648816500,Dong et al. 1995
17.56756756756760,0.5347658217223430,Dong et al. 1995
16.216216216216200,0.609635722679201,Dong et al. 1995
16.216216216216200,0.6170891388282690,Dong et al. 1995
9.189189189189190,0.8002014436797050,Dong et al. 1995
4.594594594594600,0.868423703206312,Dong et al. 1995
4.594594594594600,0.863454759106933,Dong et al. 1995
3.963963963963970,0.8983940462201330,Dong et al. 1995
3.0630630630630700,0.9160091768787420,Dong et al. 1995
2.6126126126126200,0.9036987297856860,Dong et al. 1995
2.7027027027027100,0.8937384589558500,Dong et al. 1995
2.7027027027027100,0.8813160987074030,Dong et al. 1995
1.8918918918918900,0.9138156790330700,Dong et al. 1995
0,0.956544121761513,Dong et al. 1995
