strain,elapsed_time_hr,od_600nm,technical_replicate,growth_medium,date,run_number,identifier,class
WT,0.0,0.03062962962962963,1,acetate-minus,2022-02-16,1,GC001,WT
WT,0.12555555555555564,0.03359259259259258,1,acetate-minus,2022-02-16,1,GC001,WT
WT,0.2511111111111113,0.037555555555555536,1,acetate-minus,2022-02-16,1,GC001,WT
WT,0.3766666666666669,0.04044444444444442,1,acetate-minus,2022-02-16,1,GC001,WT
WT,0.5022222222222217,0.04451851851851851,1,acetate-minus,2022-02-16,1,GC001,WT
WT,0.6277777777777773,0.04955555555555555,1,acetate-minus,2022-02-16,1,GC001,WT
WT,0.753333333333333,0.05444444444444445,1,acetate-minus,2022-02-16,1,GC001,WT
WT,0.8788888888888886,0.0605185185185185,1,acetate-minus,2022-02-16,1,GC001,WT
WT,1.0044444444444443,0.06555555555555553,1,acetate-minus,2022-02-16,1,GC001,WT
WT,1.13,0.07255555555555554,1,acetate-minus,2022-02-16,1,GC001,WT
WT,1.2555555555555555,0.07855555555555555,1,acetate-minus,2022-02-16,1,GC001,WT
WT,1.3811111111111112,0.08651851851851852,1,acetate-minus,2022-02-16,1,GC001,WT
WT,1.5066666666666668,0.09344444444444441,1,acetate-minus,2022-02-16,1,GC001,WT
WT,1.6322222222222225,0.10137037037037036,1,acetate-minus,2022-02-16,1,GC001,WT
WT,1.757777777777778,0.1094074074074074,1,acetate-minus,2022-02-16,1,GC001,WT
WT,1.8833333333333329,0.11851851851851852,1,acetate-minus,2022-02-16,1,GC001,WT
WT,2.0088888888888885,0.1265185185185185,1,acetate-minus,2022-02-16,1,GC001,WT
WT,2.134444444444444,0.13555555555555554,1,acetate-minus,2022-02-16,1,GC001,WT
WT,2.26,0.1444074074074074,1,acetate-minus,2022-02-16,1,GC001,WT
WT,0.0,0.031592592592592575,2,acetate-minus,2022-02-16,1,GC001,WT
WT,0.12555555555555564,0.03455555555555555,2,acetate-minus,2022-02-16,1,GC001,WT
WT,0.2511111111111113,0.03744444444444442,2,acetate-minus,2022-02-16,1,GC001,WT
WT,0.37666666666666604,0.04151851851851851,2,acetate-minus,2022-02-16,1,GC001,WT
WT,0.5022222222222217,0.046555555555555544,2,acetate-minus,2022-02-16,1,GC001,WT
WT,0.6277777777777773,0.051444444444444445,2,acetate-minus,2022-02-16,1,GC001,WT
WT,0.753333333333333,0.057518518518518524,2,acetate-minus,2022-02-16,1,GC001,WT
WT,0.8788888888888886,0.06355555555555553,2,acetate-minus,2022-02-16,1,GC001,WT
WT,1.0044444444444443,0.06955555555555554,2,acetate-minus,2022-02-16,1,GC001,WT
WT,1.13,0.07755555555555554,2,acetate-minus,2022-02-16,1,GC001,WT
WT,1.2555555555555555,0.08551851851851852,2,acetate-minus,2022-02-16,1,GC001,WT
WT,1.3811111111111112,0.09244444444444441,2,acetate-minus,2022-02-16,1,GC001,WT
WT,1.5066666666666668,0.10237037037037036,2,acetate-minus,2022-02-16,1,GC001,WT
WT,1.6322222222222225,0.1114074074074074,2,acetate-minus,2022-02-16,1,GC001,WT
WT,1.7577777777777772,0.12051851851851852,2,acetate-minus,2022-02-16,1,GC001,WT
WT,1.8833333333333329,0.1295185185185185,2,acetate-minus,2022-02-16,1,GC001,WT
WT,2.0088888888888885,0.13855555555555554,2,acetate-minus,2022-02-16,1,GC001,WT
WT,2.134444444444444,0.1474074074074074,2,acetate-minus,2022-02-16,1,GC001,WT
WT,0.0,0.031592592592592575,3,acetate-minus,2022-02-16,1,GC001,WT
WT,0.12555555555555564,0.03455555555555555,3,acetate-minus,2022-02-16,1,GC001,WT
WT,0.2511111111111113,0.03744444444444442,3,acetate-minus,2022-02-16,1,GC001,WT
WT,0.37666666666666604,0.04151851851851851,3,acetate-minus,2022-02-16,1,GC001,WT
WT,0.5022222222222217,0.046555555555555544,3,acetate-minus,2022-02-16,1,GC001,WT
WT,0.6277777777777773,0.051444444444444445,3,acetate-minus,2022-02-16,1,GC001,WT
WT,0.753333333333333,0.057518518518518524,3,acetate-minus,2022-02-16,1,GC001,WT
WT,0.8788888888888886,0.06355555555555553,3,acetate-minus,2022-02-16,1,GC001,WT
WT,1.0044444444444443,0.07055555555555554,3,acetate-minus,2022-02-16,1,GC001,WT
WT,1.13,0.07755555555555554,3,acetate-minus,2022-02-16,1,GC001,WT
WT,1.2555555555555555,0.08551851851851852,3,acetate-minus,2022-02-16,1,GC001,WT
WT,1.3811111111111112,0.09444444444444441,3,acetate-minus,2022-02-16,1,GC001,WT
WT,1.5066666666666668,0.10337037037037036,3,acetate-minus,2022-02-16,1,GC001,WT
WT,1.6322222222222225,0.1124074074074074,3,acetate-minus,2022-02-16,1,GC001,WT
WT,1.7577777777777772,0.12051851851851852,3,acetate-minus,2022-02-16,1,GC001,WT
WT,1.8833333333333329,0.1305185185185185,3,acetate-minus,2022-02-16,1,GC001,WT
WT,2.0088888888888885,0.13955555555555554,3,acetate-minus,2022-02-16,1,GC001,WT
WT,2.134444444444444,0.1484074074074074,3,acetate-minus,2022-02-16,1,GC001,WT
∆dpp,0.0,0.031592592592592575,1,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,0.12555555555555564,0.03455555555555555,1,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,0.2511111111111113,0.03744444444444442,1,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,0.37666666666666604,0.04051851851851851,1,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,0.5022222222222217,0.04355555555555554,1,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,0.6277777777777773,0.04744444444444444,1,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,0.753333333333333,0.05251851851851852,1,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,0.8788888888888886,0.05655555555555555,1,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,1.0044444444444443,0.06155555555555553,1,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,1.13,0.06755555555555554,1,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,1.2555555555555555,0.07351851851851851,1,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,1.3811111111111112,0.07944444444444443,1,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,1.5066666666666668,0.08637037037037038,1,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,1.6322222222222225,0.09340740740740738,1,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,1.7577777777777772,0.10051851851851851,1,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,1.8833333333333329,0.10851851851851851,1,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,2.0088888888888885,0.11555555555555555,1,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,2.134444444444444,0.12340740740740738,1,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,2.26,0.13237037037037036,1,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,2.3855555555555554,0.14051851851851851,1,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,2.511111111111111,0.1484074074074074,1,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,0.0,0.031592592592592575,2,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,0.12555555555555564,0.03455555555555555,2,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,0.2511111111111113,0.03744444444444442,2,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,0.37666666666666604,0.04051851851851851,2,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,0.5022222222222217,0.04355555555555554,2,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,0.6277777777777773,0.04744444444444444,2,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,0.753333333333333,0.05151851851851852,2,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,0.8788888888888886,0.05655555555555555,2,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,1.0044444444444443,0.06155555555555553,2,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,1.13,0.06755555555555554,2,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,1.2555555555555555,0.07351851851851851,2,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,1.3811111111111112,0.07944444444444443,2,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,1.5066666666666668,0.08637037037037038,2,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,1.6322222222222225,0.09240740740740738,2,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,1.7577777777777772,0.10051851851851851,2,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,1.8833333333333329,0.10851851851851851,2,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,2.0088888888888885,0.11555555555555555,2,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,2.134444444444444,0.12440740740740738,2,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,2.26,0.13237037037037036,2,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,2.3855555555555554,0.14051851851851851,2,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,2.511111111111111,0.1484074074074074,2,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,0.0,0.03262962962962963,3,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,0.12555555555555564,0.035592592592592565,3,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,0.2511111111111113,0.037555555555555536,3,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,0.3766666666666669,0.04044444444444442,3,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,0.5022222222222217,0.04451851851851851,3,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,0.6277777777777773,0.047555555555555545,3,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,0.753333333333333,0.051444444444444445,3,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,0.8788888888888886,0.056518518518518523,3,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,1.0044444444444443,0.06155555555555553,3,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,1.13,0.06655555555555553,3,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,1.2555555555555555,0.07255555555555554,3,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,1.3811111111111112,0.07851851851851852,3,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,1.5066666666666668,0.08544444444444443,3,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,1.6322222222222225,0.09137037037037035,3,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,1.757777777777778,0.09940740740740739,3,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,1.8833333333333329,0.10651851851851851,3,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,2.0088888888888885,0.11451851851851852,3,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,2.134444444444444,0.12255555555555553,3,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,2.26,0.1314074074074074,3,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,2.3855555555555554,0.13937037037037037,3,acetate-minus,2022-02-16,1,GC048,Single KO
∆dpp,2.511111111111111,0.14851851851851852,3,acetate-minus,2022-02-16,1,GC048,Single KO
∆flh,0.0,0.030444444444444455,1,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,0.12555555555555553,0.03240740740740741,1,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,0.25111111111111106,0.0342962962962963,1,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,0.3766666666666667,0.037185185185185196,1,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,0.5022222222222222,0.03929629629629629,1,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,0.6277777777777777,0.041111111111111126,1,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,0.7533333333333333,0.044148148148148145,1,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,0.8788888888888889,0.046962962962962984,1,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,1.0044444444444443,0.05107407407407409,1,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,1.13,0.054074074074074094,1,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,1.2555555555555555,0.05788888888888892,1,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,1.3811111111111112,0.06200000000000001,1,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,1.5066666666666668,0.06685185185185186,1,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,1.6322222222222225,0.07100000000000002,1,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,1.7577777777777777,0.076,1,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,1.8833333333333333,0.08196296296296297,1,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,2.008888888888889,0.087,1,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,2.1344444444444446,0.09296296296296296,1,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,2.2600000000000002,0.09892592592592593,1,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,2.385555555555556,0.10488888888888888,1,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,2.511111111111111,0.11166666666666666,1,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,2.6366666666666667,0.11774074074074074,1,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,2.7622222222222224,0.12366666666666665,1,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,2.887777777777778,0.13162962962962962,1,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,3.0133333333333336,0.14062962962962963,1,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,3.138888888888889,0.1475925925925926,1,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,0.0,0.031444444444444455,2,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,0.1255555555555556,0.03344444444444446,2,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,0.2511111111111111,0.0364074074074074,2,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,0.37666666666666665,0.03829629629629629,2,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,0.5022222222222223,0.0411851851851852,2,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,0.6277777777777778,0.04329629629629629,2,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,0.7533333333333332,0.04711111111111113,2,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,0.8788888888888888,0.05014814814814815,2,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,1.0044444444444445,0.05296296296296299,2,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,1.13,0.056074074074074096,2,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,1.2555555555555555,0.06007407407407407,2,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,1.3811111111111112,0.0628888888888889,2,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,1.5066666666666666,0.06700000000000002,2,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,1.6322222222222222,0.07185185185185186,2,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,1.7577777777777779,0.07700000000000003,2,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,1.883333333333333,0.081,2,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,2.008888888888889,0.08596296296296298,2,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,2.1344444444444446,0.09199999999999997,2,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,2.2600000000000002,0.09696296296296296,2,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,2.385555555555556,0.10292592592592593,2,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,2.5111111111111115,0.10888888888888888,2,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,2.6366666666666667,0.11466666666666667,2,acetate-minus,2022-02-16,1,GC029,Single KO
∆flh,2.7622222222222224,0.12074074074074075,2,acetate-minus,2022-02-16,1,GC029,Single KO
