strain,elapsed_time_hr,od_600nm,technical_replicate,growth_medium,date,run_number,identifier,class
WT,0.0,0.03348148148148149,1,glucose,2021-07-23,1,GC001,WT
WT,0.12555555555555564,0.03748148148148149,1,glucose,2021-07-23,1,GC001,WT
WT,0.2511111111111113,0.04262962962962963,1,glucose,2021-07-23,1,GC001,WT
WT,0.3766666666666669,0.04851851851851853,1,glucose,2021-07-23,1,GC001,WT
WT,0.5022222222222221,0.05562962962962964,1,glucose,2021-07-23,1,GC001,WT
WT,0.6277777777777778,0.06451851851851852,1,glucose,2021-07-23,1,GC001,WT
WT,0.7533333333333334,0.07455555555555556,1,glucose,2021-07-23,1,GC001,WT
WT,0.878888888888889,0.08559259259259261,1,glucose,2021-07-23,1,GC001,WT
WT,1.0044444444444447,0.09844444444444445,1,glucose,2021-07-23,1,GC001,WT
WT,1.13,0.11051851851851853,1,glucose,2021-07-23,1,GC001,WT
WT,1.2555555555555555,0.12751851851851853,1,glucose,2021-07-23,1,GC001,WT
WT,1.3811111111111112,0.14640740740740743,1,glucose,2021-07-23,1,GC001,WT
WT,1.5066666666666668,0.16744444444444445,1,glucose,2021-07-23,1,GC001,WT
WT,1.6322222222222225,0.19259259259259262,1,glucose,2021-07-23,1,GC001,WT
WT,1.757777777777778,0.22048148148148147,1,glucose,2021-07-23,1,GC001,WT
WT,1.8833333333333337,0.25251851851851853,1,glucose,2021-07-23,1,GC001,WT
WT,2.0088888888888885,0.2864074074074074,1,glucose,2021-07-23,1,GC001,WT
WT,2.134444444444444,0.3244074074074075,1,glucose,2021-07-23,1,GC001,WT
WT,0.0,0.032481481481481486,2,glucose,2021-07-23,1,GC001,WT
WT,0.12555555555555564,0.03748148148148149,2,glucose,2021-07-23,1,GC001,WT
WT,0.2511111111111113,0.04262962962962963,2,glucose,2021-07-23,1,GC001,WT
WT,0.3766666666666669,0.04851851851851853,2,glucose,2021-07-23,1,GC001,WT
WT,0.5022222222222221,0.05562962962962964,2,glucose,2021-07-23,1,GC001,WT
WT,0.6277777777777778,0.06351851851851852,2,glucose,2021-07-23,1,GC001,WT
WT,0.7533333333333334,0.07355555555555555,2,glucose,2021-07-23,1,GC001,WT
WT,0.878888888888889,0.08359259259259261,2,glucose,2021-07-23,1,GC001,WT
WT,1.0044444444444447,0.09544444444444444,2,glucose,2021-07-23,1,GC001,WT
WT,1.13,0.10851851851851853,2,glucose,2021-07-23,1,GC001,WT
WT,1.2555555555555555,0.12551851851851853,2,glucose,2021-07-23,1,GC001,WT
WT,1.3811111111111112,0.14340740740740743,2,glucose,2021-07-23,1,GC001,WT
WT,1.5066666666666668,0.16444444444444445,2,glucose,2021-07-23,1,GC001,WT
WT,1.6322222222222225,0.18959259259259262,2,glucose,2021-07-23,1,GC001,WT
WT,1.757777777777778,0.21748148148148147,2,glucose,2021-07-23,1,GC001,WT
WT,1.8833333333333337,0.24851851851851853,2,glucose,2021-07-23,1,GC001,WT
WT,2.0088888888888885,0.2824074074074074,2,glucose,2021-07-23,1,GC001,WT
WT,2.134444444444444,0.3204074074074075,2,glucose,2021-07-23,1,GC001,WT
WT,0.0,0.032481481481481486,3,glucose,2021-07-23,1,GC001,WT
WT,0.12555555555555564,0.03648148148148149,3,glucose,2021-07-23,1,GC001,WT
WT,0.2511111111111113,0.04162962962962963,3,glucose,2021-07-23,1,GC001,WT
WT,0.3766666666666669,0.04751851851851853,3,glucose,2021-07-23,1,GC001,WT
WT,0.5022222222222221,0.05462962962962964,3,glucose,2021-07-23,1,GC001,WT
WT,0.6277777777777778,0.06351851851851852,3,glucose,2021-07-23,1,GC001,WT
WT,0.7533333333333334,0.07255555555555555,3,glucose,2021-07-23,1,GC001,WT
WT,0.878888888888889,0.08459259259259261,3,glucose,2021-07-23,1,GC001,WT
WT,1.0044444444444447,0.09744444444444444,3,glucose,2021-07-23,1,GC001,WT
WT,1.13,0.10851851851851853,3,glucose,2021-07-23,1,GC001,WT
WT,1.2555555555555555,0.12551851851851853,3,glucose,2021-07-23,1,GC001,WT
WT,1.3811111111111112,0.14340740740740743,3,glucose,2021-07-23,1,GC001,WT
