well,od_600nm,identifier,replicate,growth_medium,date,run_number,elapsed_time_hr,avg_blank_value,strain,class
C3,0.098,GC032,1,proline,2021-09-01,1,0.0,0.07933333333333333,∆mal,Single KO
C4,0.09,GC049,1,proline,2021-09-01,1,0.0,0.07933333333333333,∆pot,Single KO
C5,0.092,GC052,1,proline,2021-09-01,1,0.0,0.07933333333333333,∆nmp,Single KO
C6,0.095,GC047,1,proline,2021-09-01,1,0.0,0.07933333333333333,∆his,Single KO
C7,0.085,GC050,1,proline,2021-09-01,1,0.0,0.07933333333333333,∆rbs,Single KO
C8,0.088,GC048,1,proline,2021-09-01,1,0.0,0.07933333333333333,∆dpp,Single KO
C9,0.085,GC053,1,proline,2021-09-01,1,0.0,0.07933333333333333,∆opp,Single KO
C10,0.092,GC055,1,proline,2021-09-01,1,0.0,0.07933333333333333,∆mgl,Single KO
D3,0.099,GC032,2,proline,2021-09-01,1,0.0,0.07933333333333333,∆mal,Single KO
D4,0.087,GC049,2,proline,2021-09-01,1,0.0,0.07933333333333333,∆pot,Single KO
D5,0.091,GC052,2,proline,2021-09-01,1,0.0,0.07933333333333333,∆nmp,Single KO
D6,0.097,GC047,2,proline,2021-09-01,1,0.0,0.07933333333333333,∆his,Single KO
D7,0.087,GC050,2,proline,2021-09-01,1,0.0,0.07933333333333333,∆rbs,Single KO
D8,0.089,GC048,2,proline,2021-09-01,1,0.0,0.07933333333333333,∆dpp,Single KO
D9,0.083,GC053,2,proline,2021-09-01,1,0.0,0.07933333333333333,∆opp,Single KO
D10,0.093,GC055,2,proline,2021-09-01,1,0.0,0.07933333333333333,∆mgl,Single KO
E3,0.096,GC032,3,proline,2021-09-01,1,0.0,0.07933333333333333,∆mal,Single KO
E4,0.089,GC049,3,proline,2021-09-01,1,0.0,0.07933333333333333,∆pot,Single KO
E5,0.091,GC052,3,proline,2021-09-01,1,0.0,0.07933333333333333,∆nmp,Single KO
E6,0.095,GC047,3,proline,2021-09-01,1,0.0,0.07933333333333333,∆his,Single KO
E7,0.085,GC050,3,proline,2021-09-01,1,0.0,0.07933333333333333,∆rbs,Single KO
E8,0.089,GC048,3,proline,2021-09-01,1,0.0,0.07933333333333333,∆dpp,Single KO
E9,0.086,GC053,3,proline,2021-09-01,1,0.0,0.07933333333333333,∆opp,Single KO
E10,0.093,GC055,3,proline,2021-09-01,1,0.0,0.07933333333333333,∆mgl,Single KO
F3,0.097,GC030,1,proline,2021-09-01,1,0.0,0.07933333333333333,∆glt,Single KO
F4,0.098,GC030,2,proline,2021-09-01,1,0.0,0.07933333333333333,∆glt,Single KO
F5,0.098,GC030,3,proline,2021-09-01,1,0.0,0.07933333333333333,∆glt,Single KO
F6,0.088,GC029,1,proline,2021-09-01,1,0.0,0.07933333333333333,∆flh,Single KO
F7,0.089,GC029,2,proline,2021-09-01,1,0.0,0.07933333333333333,∆flh,Single KO
F8,0.086,GC029,3,proline,2021-09-01,1,0.0,0.07933333333333333,∆flh,Single KO
F9,0.095,GC001,1,proline,2021-09-01,1,0.0,0.07933333333333333,WT,WT
F10,0.095,GC001,2,proline,2021-09-01,1,0.0,0.07933333333333333,WT,WT
F11,0.093,GC001,3,proline,2021-09-01,1,0.0,0.07933333333333333,WT,WT
C3,0.097,GC032,1,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆mal,Single KO
C4,0.09,GC049,1,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆pot,Single KO
C5,0.091,GC052,1,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆nmp,Single KO
C6,0.095,GC047,1,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆his,Single KO
C7,0.085,GC050,1,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆rbs,Single KO
C8,0.088,GC048,1,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆dpp,Single KO
C9,0.086,GC053,1,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆opp,Single KO
C10,0.092,GC055,1,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆mgl,Single KO
D3,0.099,GC032,2,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆mal,Single KO
D4,0.087,GC049,2,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆pot,Single KO
D5,0.091,GC052,2,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆nmp,Single KO
D6,0.097,GC047,2,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆his,Single KO
D7,0.087,GC050,2,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆rbs,Single KO
D8,0.089,GC048,2,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆dpp,Single KO
D9,0.083,GC053,2,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆opp,Single KO
D10,0.093,GC055,2,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆mgl,Single KO
E3,0.096,GC032,3,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆mal,Single KO
E4,0.088,GC049,3,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆pot,Single KO
E5,0.091,GC052,3,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆nmp,Single KO
E6,0.094,GC047,3,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆his,Single KO
E7,0.084,GC050,3,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆rbs,Single KO
E8,0.089,GC048,3,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆dpp,Single KO
E9,0.086,GC053,3,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆opp,Single KO
E10,0.093,GC055,3,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆mgl,Single KO
F3,0.097,GC030,1,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆glt,Single KO
F4,0.098,GC030,2,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆glt,Single KO
F5,0.097,GC030,3,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆glt,Single KO
F6,0.089,GC029,1,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆flh,Single KO
F7,0.09,GC029,2,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆flh,Single KO
F8,0.087,GC029,3,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,∆flh,Single KO
F9,0.095,GC001,1,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,WT,WT
F10,0.095,GC001,2,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,WT,WT
F11,0.093,GC001,3,proline,2021-09-01,1,0.12555555555555556,0.0794814814814815,WT,WT
C3,0.097,GC032,1,proline,2021-09-01,1,0.2511111111111111,0.0794814814814815,∆mal,Single KO
C4,0.09,GC049,1,proline,2021-09-01,1,0.2511111111111111,0.0794814814814815,∆pot,Single KO
C5,0.091,GC052,1,proline,2021-09-01,1,0.2511111111111111,0.0794814814814815,∆nmp,Single KO
C6,0.094,GC047,1,proline,2021-09-01,1,0.2511111111111111,0.0794814814814815,∆his,Single KO
C7,0.085,GC050,1,proline,2021-09-01,1,0.2511111111111111,0.0794814814814815,∆rbs,Single KO
C8,0.088,GC048,1,proline,2021-09-01,1,0.2511111111111111,0.0794814814814815,∆dpp,Single KO
C9,0.085,GC053,1,proline,2021-09-01,1,0.2511111111111111,0.0794814814814815,∆opp,Single KO
C10,0.093,GC055,1,proline,2021-09-01,1,0.2511111111111111,0.0794814814814815,∆mgl,Single KO
D3,0.098,GC032,2,proline,2021-09-01,1,0.2511111111111111,0.0794814814814815,∆mal,Single KO
D4,0.087,GC049,2,proline,2021-09-01,1,0.2511111111111111,0.0794814814814815,∆pot,Single KO
D5,0.09,GC052,2,proline,2021-09-01,1,0.2511111111111111,0.0794814814814815,∆nmp,Single KO
D6,0.096,GC047,2,proline,2021-09-01,1,0.2511111111111111,0.0794814814814815,∆his,Single KO
