strain,elapsed_time_hr,od_600nm,technical_replicate,growth_medium,date,run_number,identifier,class
WT,0.0,0.025111111111111112,1,proline,2021-09-01,1,GC001,WT
WT,0.12555555555555564,0.025074074074074054,1,proline,2021-09-01,1,GC001,WT
WT,0.2511111111111113,0.026074074074074055,1,proline,2021-09-01,1,GC001,WT
WT,0.3766666666666669,0.026185185185185172,1,proline,2021-09-01,1,GC001,WT
WT,0.5022222222222226,0.027074074074074056,1,proline,2021-09-01,1,GC001,WT
WT,0.6277777777777773,0.027888888888888894,1,proline,2021-09-01,1,GC001,WT
WT,0.753333333333333,0.02792592592592591,1,proline,2021-09-01,1,GC001,WT
WT,0.8788888888888886,0.028999999999999998,1,proline,2021-09-01,1,GC001,WT
WT,1.0044444444444443,0.02996296296296294,1,proline,2021-09-01,1,GC001,WT
WT,1.13,0.031,1,proline,2021-09-01,1,GC001,WT
WT,1.2555555555555555,0.032,1,proline,2021-09-01,1,GC001,WT
WT,1.3811111111111112,0.03203703703703703,1,proline,2021-09-01,1,GC001,WT
WT,1.5066666666666668,0.034,1,proline,2021-09-01,1,GC001,WT
WT,1.6322222222222225,0.03496296296296297,1,proline,2021-09-01,1,GC001,WT
WT,1.757777777777778,0.03596296296296295,1,proline,2021-09-01,1,GC001,WT
WT,1.8833333333333329,0.036962962962962975,1,proline,2021-09-01,1,GC001,WT
WT,2.0088888888888885,0.037925925925925905,1,proline,2021-09-01,1,GC001,WT
WT,2.134444444444444,0.03896296296296296,1,proline,2021-09-01,1,GC001,WT
WT,2.26,0.04092592592592592,1,proline,2021-09-01,1,GC001,WT
WT,2.3855555555555554,0.04174074074074073,1,proline,2021-09-01,1,GC001,WT
WT,2.511111111111111,0.043814814814814806,1,proline,2021-09-01,1,GC001,WT
WT,2.6366666666666667,0.044629629629629616,1,proline,2021-09-01,1,GC001,WT
WT,2.7622222222222224,0.04681481481481481,1,proline,2021-09-01,1,GC001,WT
