gene_name,b_number,protein_id,sector
ftp,b2214,P0AB85,X
ftsA,b0094,P0ABH0,S'
ftsB,b2748,P0A6S5,A'
ftsE,b3463,P0A9R7,A'
ftsH,b3178,P0AAI3,A'
ftsI,b0084,P0AD68,S'
ftsK,b0890,P46889,A
ftsL,b0083,P0AEN4,S'
ftsN,b3933,P29131,A'
ftsP,b3017,P26648,S'
ftsQ,b0093,P06136,S'
ftsW,b0089,P0ABG4,X
ftsX,b3462,P0AC30,A'
ftsY,b3464,P10121,A'
ftsZ,b0095,P0A9A6,S'
fucA,b2800,P0AB87,X
fucI,b2802,P69922,X
fucK,b2803,P11553,X
fucO,b2799,P0A9S1,X
fucP,b2801,P11551,X
fucR,b2805,P0ACK8,C
fucU,b2804,P0AEN8,S
fumA,b1612,P0AC33,C
fumB,b4122,P14407,C
fumC,b1611,P05042,S
fur,b0683,P0A9A9,S'
fusA,b3340,P0A6M8,R
fxsA,b4140,P37147,C
gabD,b2661,P25526,S
gabP,b2663,P25527,X
gabT,b2662,P22256,S
gadA,b3517,P69908,X
gadB,b1493,P69910,S
gadC,b1492,P63235,X
gadE,b3512,P63204,X
gadW,b3515,P63201,X
gadX,b3516,P37639,X
galE,b0759,P09147,C
galF,b2042,P0AAB6,X
galK,b0757,P0A6T3,C
galM,b0756,P0A9C3,S
galP,b2943,P0AEP1,X
galR,b2837,P03024,X
galS,b2151,P25748,X
galT,b0758,P09148,C
galU,b1236,P0AEP3,A
gapA,b1779,P0A9B2,A
gapC_1,b1417,P33898,A
gapC_2,b1416,,X
garD,b3128,P39829,X
garK,b3124,P23524,X
garL,b3126,P23522,X
garP,b3127,P0AA80,X
garR,b3125,P0ABQ2,X
gatA,b2094,P69828,X
gatB,b2093,P37188,X
gatC,b2092,P69831,X
gatD,b2091,P0A9S3,X
gatR_1,b2087,P36930,S'
gatR_2,b2090,,X
gatY,b2096,P0C8J6,S'
gatZ,b2095,P0C8J8,X
gcd,b0124,P15877,A'
gcl,b0507,P0AEP7,X
gcvA,b2808,P0A9F6,S'
gcvH,b2904,P0A6T9,R
gcvP,b2903,P33195,U
gcvR,b2479,P0A9I3,S
gcvT,b2905,P27248,R
gdhA,b1761,P00370,U
gfcA,b0987,P75885,X
gfcB,b0986,P75884,X
gfcC,b0985,P75883,X
gfcD,b0984,P75882,X
gfcE,b0983,P0A932,X
ggt,b3447,P18956,X
ghoS,b4128,P0AF61,X
ghoT,b4559,P64646,X
ghrA,b1033,P75913,S'
ghrB,b3553,P37666,S
ghxP,b4064,P0AF52,R
ghxQ,b4464,Q46817,R
glcA,b2975,Q46839,X
glcB,b2976,P37330,S
glcC,b2980,P0ACL5,X
glcD,b2979,P0AEP9,X
glcE,b4468,P52073,X
glcF,b4467,P52074,X
glcG,b2977,P0AEQ1,S
gldA,b3945,P0A9S5,S
glf,b2036,P37747,X
glgA,b3429,P0A6U8,S
glgB,b3432,P07762,S
glgC,b3430,P0A6V1,S
glgP,b3428,P0AC86,S
glgS,b3049,P26649,X
glgX,b3431,P15067,S
glk,b2388,P0A6V8,S
glmM,b3176,P31120,A
glmS,b3729,P17169,U
glmU,b3730,P0ACC7,U
glnA,b3870,P0A9C5,U
glnB,b2553,P0A9Z1,A
glnD,b0167,P27249,S
glnE,b3053,P30870,S
glnG,b3868,P0AFB8,A
glnH,b0811,P0AEQ3,C'
glnK,b0450,P0AC55,U
glnL,b3869,P0AFB5,A
glnP,b0810,P0AEQ6,C'
glnQ,b0809,P10346,C'
glnS,b0680,P00962,U
gloA,b1651,P0AC81,A'
gloB,b0212,P0AC84,S
gloC,b0927,P75849,S'
glpA,b2241,P0A9C0,X
glpB,b2242,P13033,X
glpC,b2243,P0A996,X
glpD,b3426,P13035,X
glpE,b3425,P0A6V5,X
glpF,b3927,P0AER0,X
glpG,b3424,P09391,X
glpK,b3926,P0A6F3,S
glpQ,b2239,P09394,X
glpR,b3423,P0ACL0,X
glpT,b2240,P08194,X
glpX,b3925,P0A9C9,U
glrK,b2556,P52101,X
glrR,b2554,P0AFU4,A'
gltA,b0720,P0ABH7,S
gltB,b3212,P09831,U
gltD,b3213,P09832,U
gltF,b3214,P28721,X
gltI,b0655,P37902,S
gltJ,b0654,P0AER3,C
gltK,b0653,P0AER5,C
gltL,b0652,P0AAG3,S
gltP,b4077,P21345,X
gltS,b3653,P0AER8,X
gltX,b2400,P04805,A'
gluQ,b0144,P27305,C'
glvB,b3682,P69789,X
glvC,b3683,P31452,X
glvG,b3681,P31450,X
glxK,b0514,P77364,X
glxR,b0509,P77161,X
glyA,b2551,P0A825,A
glyQ,b3560,P00960,R
glyS,b3559,P00961,U
gmd,b2053,P0AC88,X
gmhB,b0200,P63228,S
gmk,b3648,P60546,R
gmm,b2051,P32056,X
gnd,b2029,P00350,A
gnsA,b4517,P0AC92,A'
gnsB,b1550,P77695,S
gntK,b3437,P46859,X
gntP,b4321,P0AC94,X
gntR,b3438,P0ACP5,S
gntT,b3415,P39835,C
gntU,b4476,P0AC96,X
gntX,b3413,P46846,X
gor,b3500,P06715,S
gph,b3385,P32662,A'
gpmA,b0755,P62707,A
gpmM,b3612,P37689,A'
gpp,b3779,P25552,S'
gpsA,b3608,P0A6S7,S
gpt,b0238,P0A9M5,R
grcA,b2579,P68066,S
greA,b3181,P0A6W5,C'
greB,b3406,P30128,S'
groL,b4143,P0A6F5,C
groS,b4142,P0A6F9,C
grpE,b2614,P09372,R
grxA,b0849,P68688,A'
grxB,b1064,P0AC59,S
grxC,b3610,P0AC62,S'
grxD,b1654,P0AC69,A'
gshA,b2688,P0A6W9,S'
gshB,b2947,P04425,S'
gsiA,b0829,P75796,S
gsiB,b0830,P75797,S
gsiC,b0831,P75798,S
gsiD,b0832,P75799,A
gsk,b0477,P0AEW6,U
gspA,b3323,P45756,X
gspB,b3322,P03825,X
gspC,b3324,P45757,X
gspD,b3325,P45758,X
gspE,b3326,P45759,X
gspF,b3327,P41441,X
gspG,b3328,P41442,X
gspH,b3329,P41443,X
gspI,b3330,P45760,X
gspJ,b3331,P45761,X
gspK,b3332,P45762,X
gspL,b3333,P45763,X
gspM,b3334,P36678,X
gspO,b3335,P25960,X
gss,b2988,P0AES0,A
gstA,b1635,P0A9D2,S'
gstB,b0838,P0ACA7,S
guaA,b2507,P04079,R
guaB,b2508,P0ADG7,R
guaC,b0104,P60560,A
guaD,b2883,P76641,X
gudD,b2787,P0AES2,X
gudP,b2789,Q46916,X
gudX,b2788,Q46915,X
gutM,b2706,P15081,X
gutQ,b2708,P17115,S
gyrA,b2231,P0AES4,A'
gyrB,b3699,P0AES6,R
hcaB,b2541,P0CI31,X
hcaC,b2540,P0ABW0,X
hcaD,b2542,P77650,X
hcaE,b2538,P0ABR5,X
hcaF,b2539,Q47140,X
hcaR,b2537,Q47141,X
hcaT,b2536,Q47142,X
hchA,b1967,P31658,S
hcp,b0873,P75825,X
hcr,b0872,P75824,X
hda,b2496,P69931,X
hdeA,b3510,P0AES9,X
hdeB,b3509,P0AET2,X
hdeD,b3511,P0AET5,X
hdfR,b4480,P0A8R9,S
hdhA,b1619,P0AET8,S'
helD,b0962,P15038,S
hemA,b1210,P0A6X1,X
hemB,b0369,P0ACB2,S
hemC,b3805,P06983,S'
hemD,b3804,P09126,S
hemE,b3997,P29680,S'
hemF,b2436,P36553,X
hemG,b3850,P0ACB4,S'
hemH,b0475,P23871,S'
hemL,b0154,P23893,A
hemN,b3867,P32131,S'
hemX,b3803,P09127,S
hemY,b3802,P0ACB7,S
hflC,b4175,P0ABC3,S
hflD,b1132,P25746,R
hflK,b4174,P0ABC7,A'
hflX,b4173,P25519,R
hfq,b4172,P0A6X3,C'
hha,b0460,P0ACE3,R
hicA,b4532,P76106,X
hicB,b1438,P67697,X
higA,b3082,P67701,X
higB,b3083,P64578,X
hinT,b1103,P0ACE7,S'
hipA,b1507,P23874,X
hipB,b1508,P23873,X
hisA,b2024,P10371,A
hisB,b2022,P06987,A
hisC,b2021,P06986,A
hisD,b2020,P06988,A
hisF,b2025,P60664,A
hisG,b2019,P60757,A
hisH,b2023,P60595,A
hisI,b2026,P06989,A
hisJ,b2309,P0AEU0,A
hisL,b2018,P60995,X
hisM,b2307,P0AEU3,A
hisP,b2306,P07109,S
hisQ,b2308,P52094,A'
hisS,b2514,P60906,U
hlyE,b1182,P77335,X
hmp,b2552,P24232,C
hns,b1237,P0ACF8,S'
hofB,b0107,P36645,X
hofC,b0106,P36646,X
hofM,b3395,P45753,X
hofN,b3394,P64634,X
hofO,b3393,P45751,X
hofP,b3392,P45750,X
hofQ,b3391,P34749,X
hokA,b4455,P37305,X
hokB,b4428,P77494,X
hokC,b4412,P0ACG4,X
hokD,b1562,P0ACG6,X
hokE,b4415,P77091,X
holA,b0640,P28630,X
holB,b1099,P28631,X
holC,b4259,P28905,C'
holD,b4372,P28632,X
holE,b1842,P0ABS8,U
hpf,b3203,P0AFX0,S
hpt,b0125,P0A9M2,R
hrpA,b1413,P43329,A'
hrpB,b0148,P37024,X
hscA,b2526,P0A6Z1,R
hscB,b2527,P0A6L9,A'
hscC,b0650,P77319,X
hsdM,b4349,P08957,R
hsdR,b4350,P08956,C'
hsdS,b4348,P05719,U
hslJ,b1379,P52644,X
hslO,b3401,P0A6Y5,R
hslR,b3400,P0ACG8,R
hslU,b3931,P0A6H5,U
hslV,b3932,P0A7B8,R
hspQ,b0966,P0AB20,R
hsrA,b3754,P31474,X
htgA,b0012,P28697,X
htpG,b0473,P0A6Z3,U
htpX,b1829,P23894,C'
htrE,b0139,P33129,X
htrL,b3618,P25666,X
hupA,b4000,P0ACF0,S
hupB,b0440,P0ACF4,S'
hyaA,b0972,P69739,X
hyaB,b0973,P0ACD8,S'
hyaC,b0974,P0AAM1,X
hyaD,b0975,P19930,X
hyaE,b0976,P19931,X
hyaF,b0977,P19932,X
hybA,b2996,P0AAJ8,X
hybB,b2995,P37180,X
hybC,b2994,P0ACE0,X
hybD,b2993,P37182,A'
hybE,b2992,P0AAN1,X
hybF,b2991,P0A703,X
hybG,b2990,P0AAM7,X
hybO,b2997,P69741,X
hycA,b2725,P0AEV4,X
hycB,b2724,P0AAK1,X
hycC,b2723,P16429,X
hycD,b2722,P16430,X
hycE,b2721,P16431,X
hycF,b2720,P16432,X
hycG,b2719,P16433,X
hycH,b2718,P0AEV7,X
hycI,b2717,P0AEV9,S
hydN,b2713,P0AAK4,X
hyfA,b2481,P23481,A'
hyfB,b2482,P23482,X
hyfC,b2483,P77858,X
hyfD,b2484,P77416,X
hyfE,b2485,P0AEW1,X
hyfF,b2486,P77437,X
hyfG,b2487,P77329,X
hyfH,b2488,P77423,X
hyfI,b2489,P77668,X
hyfJ,b2490,P77453,X
hyfR,b2491,P71229,S
hyi,b0508,P30147,X
hypA,b2726,P0A700,X
hypB,b2727,P0AAN3,X
hypC,b2728,P0AAM3,X
hypD,b2729,P24192,X
hypE,b2730,P24193,X
hypF,b2712,P30131,X
hypT,b4327,P39376,X
hyuA,b2873,Q46806,X
iaaA,b0828,P37595,S
iadA,b4328,P39377,R
iap,b2753,P10423,X
ibaG,b3190,P0A9W6,R
ibpA,b3687,P0C054,R
ibpB,b3686,P0C058,X
icd,b1136,P08200,S
icdC,b4519,,X
iclR,b4018,P16528,S'
idi,b2889,Q46822,X
idnD,b4267,P39346,X
idnK,b4268,P39208,X
idnO,b4266,P0A9P9,X
idnR,b4264,P39343,X
idnT,b4265,P39344,X
ihfA,b1712,P0A6X7,S'
ihfB,b0912,P0A6Y1,S'
ileS,b0026,P00956,R
ilvA,b3772,P04968,S
ilvB,b3671,P08142,C
ilvC,b3774,P05793,U
ilvD,b3771,P05791,A'
ilvE,b3770,P0AB80,A
ilvG_1,b3767,P00892,A'
ilvG_2,b3768,,X
ilvH,b0078,P00894,S
ilvI,b0077,P00893,S
ilvL,b3766,P62522,X
ilvM,b3769,P0ADG1,A
ilvN,b3670,P0ADF8,C
ilvX,b4669,C1P619,X
ilvY,b3773,P05827,C'
inaA,b2237,P27294,X
infA,b0884,P69222,R
infB,b3168,P0A705,R
infC,b1718,P0A707,U
insA-1,b0022,,X
insA-2,b0265,,X
insA-3,b0275,,X
insA-4,b4516,,X
insA-5,b1894,,X
insA-6,b3444,,X
insA-7,b4294,,X
insAB-1,0,,X
insAB-2,0,,X
insAB-3,0,,X
insAB-4,0,,X
insAB-5,0,,X
insAB-6,0,,X
insB-1,b0021,,X
insB-2,b0264,,X
insB-4,b0988,,X
insC-1,b0360,,X
insC-2,b1403,,X
insC-3,b1997,,X
insC-4,b2861,,X
insC-5,b3044,,X
insC-6,b4272,,X
insCD-1,0,,X
insCD-2,0,,X
insCD-3,0,,X
insCD-4,0,,X
insCD-5,0,,X
insCD-6,0,,X
insD,b1578,,X
insD-1,b0361,,X
insE-1,b0298,,X
insE-2,b0373,,X
insE-3,b0540,,X
insE-4,b1027,,X
insE-5,b2088,,X
insEF-1,0,,X
insEF-2,0,,X
insEF-3,0,,X
insEF-4,0,,X
insEF-5,0,,X
insF-1,b0299,,X
insG,b4278,P03835,X
insH-1,b0259,,X
insH-10,b3218,,X
insH-11,b3505,,X
insH-2,b0552,,X
insH-3,b0656,,X
insH-4,b1331,,X
insH-5,b1370,,X
insH-6,b1994,,X
insH-7,b2030,,X
insH-8,b2192,,X
insH-9,b2982,,X
insI-1,b0256,,X
insI-2,b1404,,X
insI-3,b4284,,X
insJ,b3557,P19768,X
insJK,0,,X
insK,b3558,P19769,X
insL-1,b0016,,X
insL-2,b0582,,X
insL-3,b2394,,X
insN-1,b0255,,X
insN-2,b4283,,X
insO-1,b0257,,X
insO-2,b4285,,X
intA,b2622,P32053,X
intB,b4271,P39347,X
intD,b0537,P24218,X
intE,b1140,P75969,X
intF,b0281,P71298,X
intG,b1936,P76323,X
intQ,b1579,P76168,X
intR,b1345,P76056,X
intS,b2349,P37326,X
intZ,b2442,P76542,X
iraD,b4326,P39375,X
iraM,b1160,P75987,X
iraP,b0382,P0AAN9,S'
iroK,b4706,U3PVA8,X
iscA,b2528,P0AAC8,R
iscR,b2531,P0AGK8,C'
iscS,b2530,P0A6B7,S'
iscU,b2529,P0ACD4,S
iscX,b2524,P0C0L9,A'
ispA,b0421,P22939,X
ispB,b3187,P0AD57,U
ispD,b2747,Q46893,S'
ispE,b1208,P62615,S'
ispF,b2746,P62617,S'
ispG,b2515,P62620,R
ispH,b0029,P62623,R
ispU,b0174,P60472,S
ivbL,b3672,P03061,X
ivy,b0220,P0AD59,S
katE,b1732,P21179,S
katG,b3942,P13029,S
kbaY,b3137,P0AB74,X
kbaZ,b3132,P0C8K0,X
kbl,b3617,P0AB77,S'
kch,b1250,P31069,A
kdgK,b3526,P37647,S'
kdgR,b1827,P76268,S'
kdgT,b3909,P0A712,X
kdpA,b0698,P03959,X
kdpB,b0697,P03960,X
kdpC,b0696,P03961,X
kdpD,b0695,P21865,S'
kdpE,b0694,P21866,S'
kdpF,b4513,P36937,X
kdsA,b1215,P0A715,A
kdsB,b0918,P04951,A'
kdsC,b3198,P0ABZ4,A'
kdsD,b3197,P45395,S
kduD,b2842,P37769,X
kduI,b2843,Q46938,X
kefB,b3350,P45522,X
kefC,b0047,P03819,X
kefF,b0046,P0A754,X
kefG,b3351,P0A756,X
kgtP,b2587,P0AEX3,S
kilR,b1352,P38393,X
kptA,b4331,P39380,X
kup,b3747,P63183,C'
lacA,b0342,P07464,X
lacI,b0345,P03023,S'
lacY,b0343,P02920,X
lacZ,b0344,P00722,X
lafU,b0230,Q47154,X
lamB,b4036,P02943,X
lapA,b1279,P0ACV4,S'
lapB,b1280,P0AB58,S
ldcA,b1192,P76008,S'
ldcC,b0186,P52095,X
ldhA,b1380,P52643,S
ldrA,b4419,Q6BF86,X
ldrB,b4421,Q6BF87,X
ldrC,b4423,Q6BF86,X
ldrD,b4453,Q6BF25,X
ldtA,b1990,P39176,A'
ldtB,b0819,P0AAX8,A'
ldtC,b1113,P75954,X
ldtD,b0925,P22525,X
ldtE,b1678,P76193,S'
lepA,b2569,P60785,R
lepB,b2568,P00803,C'
leuA,b0074,P09151,C'
leuB,b0073,P30125,S'
leuC,b0072,P0A6A6,C
leuD,b0071,P30126,C
leuE,b1798,P76249,X
leuL,b0075,P0AD79,X
leuO,b0076,P10151,X
leuS,b0642,P07813,R
lexA,b4043,P0A7C2,S'
lfhA,b0229,Q47153,X
lgoD,b4358,P39400,X
lgoR,b4357,P39399,X
lgoT,b4356,P39398,X
lgt,b2828,P60955,X
lhgO,b2660,P37339,X
lhr,b1653,P30015,X
ligA,b2411,P15042,C'
ligB,b3647,P25772,X
lipA,b0628,P60716,C'
lipB,b0630,P60720,A'
lit,b1139,P11072,X
livF,b3454,P22731,C
livG,b3455,P0A9S7,C
livH,b3457,P0AEX7,X
livJ,b3460,P0AD96,S
livK,b3458,P04816,C'
livM,b3456,P22729,C
lldD,b3605,P33232,S
lldP,b3603,P33231,X
lldR,b3604,P0ACL7,X
lnt,b0657,P23930,R
loiP,b2936,P25894,S
lolA,b0891,P61316,S'
lolB,b1209,P61320,A'
lolC,b1116,P0ADC3,A'
lolD,b1117,P75957,A'
lolE,b1118,P75958,A
lomR_1,b1369,P77184,X
lomR_2,b1371,,X
lon,b0439,P0A9M0,A'
lpcA,b0222,P63224,S'
lpd,b0116,P0A9P0,S
lplA,b4386,P32099,S'
lplT,b2835,P39196,X
lpoA,b3147,P45464,A'
lpoB,b1105,P0AB38,S'
lpp,b1677,P69776,S'
lptA,b3200,P0ADV1,S'
lptB,b3201,P0A9V1,S'
lptC,b3199,P0ADV9,S'
lptD,b0054,P31554,S'
lptE,b0641,P0ADC1,S
lptF,b4261,P0AF98,S'
lptG,b4262,P0ADC6,S'
lpxA,b0181,P0A722,S'
lpxB,b0182,P10441,C
lpxC,b0096,P0A725,S'
lpxD,b0179,P21645,S'
lpxH,b0524,P43341,X
lpxK,b0915,P27300,X
lpxL,b1054,P0ACV0,X
lpxM,b1855,P24205,A'
lpxP,b2378,P0ACV2,X
lpxT,b2174,P76445,A'
lrhA,b2289,P36771,C'
lrp,b0889,P0ACJ0,S'
lspA,b0027,P00804,X
lsrA,b1513,P77257,X
lsrB,b1516,P76142,X
lsrC,b1514,P77672,X
lsrD,b1515,P0AFS1,X
lsrF,b1517,P76143,X
lsrG,b1518,P64461,X
lsrK,b1511,P77432,X
lsrR,b1512,P76141,X
ltaE,b0870,P75823,S
luxS,b2687,P45578,A
lysA,b2838,P00861,U
lysC,b4024,P08660,A
lysO,b0874,P75826,X
lysP,b2156,P25737,U
lysR,b2839,P03030,X
lysS,b2890,P0A8N3,R
lysU,b4129,P0A8N5,R
lyxK,b3580,P37677,X
maa,b0459,P77791,C
macA,b0878,P75830,S'
macB,b0879,P75831,X
maeA,b1479,P26616,C
maeB,b2463,P76558,C
mak,b0394,P23917,S
malE,b4034,P0AEX9,A
malF,b4033,P02916,X
malG,b4032,P68183,X
malI,b1620,P18811,X
malK,b4035,P68187,X
malM,b4037,P03841,X
malP,b3417,P00490,A
malQ,b3416,P15977,X
malS,b3571,P25718,X
malT,b3418,P06993,C
malX,b1621,P19642,X
malY,b1622,P23256,S
malZ,b0403,P21517,X
manA,b1613,P00946,C'
manX,b1817,P69797,A
manY,b1818,P69801,A
manZ,b1819,P69805,A
map,b0168,P0AE18,U
marA,b1531,P0ACH5,X
marB,b1532,P31121,X
marC,b1529,P0AEY1,X
marR,b1530,P27245,X
matP,b0956,P0A8N0,X
mazE,b2783,P0AE72,X
mazF,b2782,P0AE70,A'
mazG,b2781,P0AEY3,X
mcbA,b0806,P0AAX6,X
mcbR,b1450,P76114,X
mcrA,b1159,P24200,X
mcrB,b4346,P15005,X
mcrC,b4345,P15006,X
mdaB,b3028,P0AEY5,R
mdfA,b0842,P0AEY8,X
mdh,b3236,P61889,S
mdlA,b0448,P77265,X
mdlB,b0449,P0AAG5,X
mdtA,b2074,P76397,S'
mdtB,b2075,P76398,X
mdtC,b2076,P76399,X
mdtD,b2077,P36554,X
mdtE,b3513,P37636,S'
mdtF,b3514,P37637,X
mdtG,b1053,P25744,X
mdtH,b1065,P69367,X
mdtI,b1599,P69210,X
mdtJ,b1600,P69212,X
mdtK,b1663,P37340,S'
mdtL,b3710,P31462,X
mdtM,b4337,P39386,X
mdtN,b4082,P32716,X
mdtO,b4081,P32715,X
mdtP,b4080,P32714,X
mdtQ,b2138,P33369,X
melA,b4119,P06720,X
melB,b4120,P02921,X
melR,b4118,P0ACH8,X
menA,b3930,P32166,X
menB,b2262,P0ABU0,A
menC,b2261,P29208,A
menD,b2264,P17109,X
menE,b2260,P37353,X
menF,b2265,P38051,S'
menH,b2263,P37355,X
menI,b1686,P77781,R
mepA,b2328,P0C0T5,R
mepH,b1655,P76190,X
mepM,b1856,P0AFS9,X
mepS,b2175,P0AFV4,C'
metA,b4013,P07623,S
metB,b3939,P00935,U
metC,b3008,P06721,A
metE,b3829,P25665,U
metF,b3941,P0AEZ1,R
metG,b2114,P00959,A
metH,b4019,P13009,A
metI,b0198,P31547,R
metJ,b3938,P0A8U6,A'
metK,b2942,P0A817,A
metL,b3940,P00562,R
metN,b0199,P30750,R
metQ,b0197,P28635,S
metR,b3828,P0A9F9,R
mfd,b1114,P30958,A
mglA,b2149,P0AAG8,C
mglB,b2150,P0AEE5,C
mglC,b2148,P23200,C
mgrB,b1826,P64512,X
mgsA,b0963,P0A731,C'
mgtA,b4242,P0ABB8,S'
mgtL,b4702,E2JKY7,X
mhpA,b0347,P77397,X
mhpB,b0348,P0ABR9,X
mhpC,b0349,P77044,X
mhpD,b0350,P77608,X
mhpE,b0352,P51020,X
mhpF,b0351,P77580,X
mhpR,b0346,P77569,C
mhpT,b0353,P77589,X
miaA,b4171,P16384,A'
miaB,b0661,P0AEI1,R
minC,b1176,P18196,S
minD,b1175,P0AEZ3,S
minE,b1174,P0A734,S
mioC,b3742,P03817,R
mipA,b1782,P0A908,U
mlaA,b2346,P76506,A'
mlaB,b3191,P64602,A'
mlaC,b3192,P0ADV7,S'
mlaD,b3193,P64604,A'
mlaE,b3194,P64606,X
mlaF,b3195,P63386,A'
mlc,b1594,P50456,S'
mliC,b1639,P28224,X
mlrA,b2127,P33358,X
mltA,b2813,P0A935,A'
mltB,b2701,P41052,X
mltC,b2963,P0C066,S
mltD,b0211,P0AEZ7,X
mltF,b2558,P0AGC5,X
mltG,b1097,P28306,R
mmuM,b0261,Q47690,C'
mmuP,b0260,Q47689,R
mnaT,b1448,P76112,A'
mngA,b0731,P54745,X
mngB,b0732,P54746,X
mngR,b0730,P13669,A
mnmA,b1133,P25745,A'
mnmC,b2324,P77182,X
mnmE,b3706,P25522,S'
mnmG,b3741,P0A6U3,R
mntH,b2392,P0A769,X
mntP,b1821,P76264,X
mntR,b0817,P0A9F1,A'
mntS,b4705,P0DKB3,X
moaA,b0781,P30745,X
moaB,b0782,P0AEZ9,S
moaC,b0783,P0A738,S
moaD,b0784,P30748,S
moaE,b0785,P30749,S
mobA,b3857,P32173,X
mobB,b3856,P32125,S
mocA,b2877,Q46810,X
modA,b0763,P37329,C
modB,b0764,P0AF01,X
modC,b0765,P09833,C
modE,b0761,P0A9G8,C'
modF,b0760,P31060,S
moeA,b0827,P12281,S'
moeB,b0826,P12282,S
mog,b0009,P0AF03,C'
mokB,b1420,P76096,X
mokC,b0018,P33236,X
molR_1,b2115,,X
molR_2,b2116,,X
molR_3,b2117,,X
motA,b1890,P09348,X
motB,b1889,P0AF06,X
mpaA,b1326,P0ACV6,X
mpl,b4233,P37773,A'
mppA,b1329,P77348,S'
mprA,b2684,P0ACR9,U
mqo,b2210,P33940,R
mqsA,b3021,Q46864,X
mqsR,b3022,Q46865,X
mraY,b0087,P0A6W3,A'
mraZ,b0081,P22186,S'
mrcA,b3396,P02918,R
mrcB,b0149,P02919,S'
mrdA,b0635,P0AD65,R
mrdB,b0634,P0ABG7,X
mreB,b3251,P0A9X4,R
mreC,b3250,P16926,U
mreD,b3249,P0ABH4,X
mrp,b2113,P0AF08,A'
mrr,b4351,P24202,S'
msbA,b0914,P60752,R
mscK,b0465,P77338,C'
mscL,b3291,P0A742,S'
mscM,b4159,P39285,X
mscS,b2924,P0C0S1,A'
msrA,b4219,P0A744,S
msrB,b1778,P0A746,S
msrC,b1832,P76270,A'
msrP,b1971,P76342,X
msrQ,b1972,P76343,X
msyB,b1051,P25738,S
mtfA,b1976,P76346,S
mtgA,b3208,P46022,X
mtlA,b3599,P00550,S
mtlD,b3600,P09424,S
mtlR,b3601,P0AF10,X
mtn,b0159,P0AF12,S
mtr,b3161,P0AAD2,X
mug,b3068,P0A9H1,S'
mukB,b0924,P22523,S'
mukE,b0923,P22524,C'
mukF,b0922,P60293,S'
murA,b3189,P0A749,A'
murB,b3972,P08373,S'
murC,b0091,P17952,A'
murD,b0088,P14900,S'
murE,b0085,P22188,S'
murF,b0086,P11880,S
murG,b0090,P17443,S'
murI,b3967,P22634,S'
murJ,b1069,P0AF16,X
murP,b2429,P77272,X
murQ,b2428,P76535,X
murR,b2427,P77245,X
mutH,b2831,P06722,X
mutL,b4170,P23367,S'
mutM,b3635,P05523,X
mutS,b2733,P23909,R
mutT,b0099,P08337,X
mutY,b2961,P17802,X
mzrA,b3096,P42615,X
nac,b1988,Q47005,X
nadA,b0750,P11458,A
nadB,b2574,P10902,A
nadC,b0109,P30011,S
nadD,b0639,P0A752,X
nadE,b1740,P18843,A
nadK,b2615,P0A7B3,X
nadR,b4390,P27278,S'
nagA,b0677,P0AF18,S'
nagB,b0678,P0A759,S'
nagC,b0676,P0AF20,S
nagE,b0679,P09323,C'
nagK,b1119,P75959,S'
nagZ,b1107,P75949,S'
nanA,b3225,P0A6L4,C'
nanC,b4311,P69856,X
nanE,b3223,P0A761,C'
nanK,b3222,P45425,X
nanM,b4310,P39371,X
nanR,b3226,P0A8W0,A
nanS,b4309,P39370,X
nanT,b3224,P41036,X
napA,b2206,P33937,X
napB,b2203,P0ABL3,X
napC,b2202,P0ABL5,X
napD,b2207,P0A9I5,X
napF,b2208,P0AAL0,X
napG,b2205,P0AAL3,X
napH,b2204,P33934,X
narG,b1224,P09152,C
narH,b1225,P11349,X
narI,b1227,P11350,X
narJ,b1226,P0AF26,X
narK,b1223,P10903,X
narL,b1221,P0AF28,S'
narP,b2193,P31802,S'
narQ,b2469,P27896,X
narU,b1469,P37758,X
narV,b1465,P0AF32,X
narW,b1466,P19317,X
narX,b1222,P0AFA2,X
narY,b1467,P19318,X
narZ,b1468,P19319,C
ndh,b1109,P00393,A'
ndk,b2518,P0A763,C
nei,b0714,P50465,A'
nemA,b1650,P77258,A
nemR,b1649,P67430,X
nepI,b3662,P0ADL1,X
nfi,b3998,P68739,S
nfo,b2159,P0A6C1,S
nfrA,b0568,P31600,S'
nfrB,b0569,P0AFA5,X
nfsA,b0851,P17117,S
nfsB,b0578,P38489,U
nfuA,b3414,P63020,R
nhaA,b0019,P13738,X
nhaB,b1186,P0AFA7,S'
nhaR,b0020,P0A9G2,X
nhoA,b1463,P77567,X
nikA,b3476,P33590,X
nikB,b3477,P33591,X
nikC,b3478,P0AFA9,X
nikD,b3479,P33593,X
nikE,b3480,P33594,X
nikR,b3481,P0A6Z6,S
nimR,b1790,P76241,X
nimT,b1791,P76242,X
ninE,b0548,Q47270,X
nirB,b3365,P08201,X
nirC,b3367,P0AC26,X
nirD,b3366,P0A9I8,X
nlpA,b3661,P04846,A'
nlpC,b1708,P23898,X
nlpD,b2742,P0ADA3,S
nlpE,b0192,P40710,S'
nlpI,b3163,P0AFB1,S'
nmpC,b0553,P21420,C
nohA,b1548,P31061,X
nohB,b0560,P31062,X
norR,b2709,P37013,X
norV,b2710,Q46877,X
norW,b2711,P37596,X
npr,b3206,P0A9N0,X
