gene_name,b_number,protein_id,sector
arnA,b2255,P77398,S
arnB,b2253,P77690,S
arnC,b2254,P77757,X
arnD,b2256,P76472,X
arnE,b4544,Q47377,X
arnF,b2258,P76474,X
arnT,b2257,P76473,X
aroA,b0908,P0A6D3,A
aroB,b3389,P07639,S'
aroC,b2329,P12008,S
aroD,b1693,P05194,S
aroE,b3281,P15770,A'
aroF,b2601,P00888,U
aroG,b0754,P0AB91,U
aroH,b1704,P00887,R
aroK,b3390,P0A6D7,R
aroL,b0388,P0A6E1,R
aroM,b0390,P0AE28,X
aroP,b0112,P15993,C'
arpA,b4017,P23325,X
arpB_1,b1720,P76205,X
arpB_2,b1721,,X
arsB,b3502,P0AB93,X
arsC,b3503,P0AB96,X
arsR,b3501,P37309,X
artI,b0863,P30859,S'
artJ,b0860,P30860,A
artM,b0861,P0AE30,X
artP,b0864,P0AAF6,R
artQ,b0862,P0AE34,X
ascB,b2716,P24240,X
ascF,b2715,P24241,X
ascG,b2714,P24242,X
asd,b3433,P0A9Q9,A
aslA,b3801,P25549,X
aslB,b3800,P25550,X
asmA,b2064,P28249,S'
asnA,b3744,P00963,A
asnB,b0674,P22106,A
asnC,b3743,P0ACI6,X
asnS,b0930,P0A8M0,U
aspA,b4139,P0AC38,C
aspC,b0928,P00509,A
aspS,b1866,P21889,R
asr,b1597,P36560,X
astA,b1747,P0AE37,X
astB,b1745,P76216,X
astC,b1748,P77581,X
astD,b1746,P76217,X
astE,b1744,P76215,X
atl,b0454,P0AFP2,X
atoA,b2222,P76459,X
atoB,b2224,P76461,X
atoC,b2220,Q06065,X
atoD,b2221,P76458,X
atoE,b2223,P76460,X
atoS,b2219,Q06067,X
atpA,b3734,P0ABB0,S
atpB,b3738,P0AB98,X
atpC,b3731,P0A6E6,C
atpD,b3732,P0ABB4,C
atpE,b3737,P68699,S'
atpF,b3736,P0ABA0,C
atpG,b3733,P0ABA6,C
atpH,b3735,P0ABA4,S
atpI,b3739,P0ABC0,X
avtA,b3572,P09053,A'
azoR,b1412,P41407,A
azuC,b4663,C1P605,X
bacA,b3057,P60932,A'
baeR,b2079,P69228,S'
baeS,b2078,P30847,X
bamA,b0177,P0A940,C'
bamB,b2512,P77774,S
bamC,b2477,P0A903,S
bamD,b2595,P0AC02,C
bamE,b2617,P0A937,S'
barA,b2786,P0AEC5,C'
basR,b4113,P30843,S'
basS,b4112,P30844,X
bax,b3570,P27297,X
bcp,b2480,P0AE52,A
bcr,b2182,P28246,X
bcsA,b3533,P37653,X
bcsB,b3532,P37652,S
bcsC,b3530,P37650,S
bcsE,b3536,P37657,X
bcsF,b3537,P0ADJ5,X
bcsG,b3538,P37659,S'
bcsQ,b3534,P37655,X
bcsZ,b3531,P37651,X
bdcA,b4249,P39333,X
bdcR,b4251,P39334,A'
bdm,b1481,P76127,X
bepA,b2494,P66948,S
betA,b0311,P17444,X
betB,b0312,P17445,A'
betI,b0313,P17446,X
betT,b0314,P0ABC9,X
bfd,b3337,P0AE56,X
bfr,b3336,P0ABD3,S
bglA,b2901,Q46829,A
bglB,b3721,P11988,X
bglF,b3722,P08722,X
bglG,b3723,P11989,X
bglH,b3720,P26218,X
bglJ,b4366,P39404,X
bglX,b2132,P33363,C'
bhsA,b1112,P0AB40,X
bioA,b0774,P12995,A'
bioB,b0775,P12996,U
bioC,b0777,P12999,X
bioD,b0778,P13000,S
bioF,b0776,P12998,R
bioH,b3412,P13001,S'
bipA,b3871,P32132,R
birA,b3973,P06709,S'
bisC,b3551,P20099,S
blc,b4149,P0A901,X
blr,b4409,P56976,X
bluF,b1163,P75990,X
bluR,b1162,P75989,X
bolA,b0435,P0ABE2,S'
borD,b0557,P77330,R
brnQ,b0401,P0AD99,X
bsmA,b4189,P39297,S
bssR,b0836,P0AAY1,X
bssS,b1060,P0AB33,X
btuB,b3966,P06129,S
btuC,b1711,P06609,X
btuD,b1709,P06611,X
btuE,b1710,P06610,S
btuF,b0158,P37028,X
btuR,b1270,P0A9H5,S'
cadA,b4131,P0A9H3,X
cadB,b4132,P0AAE8,X
cadC,b4133,P23890,X
caiA,b0039,P60584,X
caiB,b0038,P31572,X
caiC,b0037,P31552,X
caiD,b0036,P31551,X
caiE,b0035,P39206,X
caiF,b0034,P0AE58,X
caiT,b0040,P31553,X
can,b0126,P61517,A
carA,b0032,P0A6F1,A
carB,b0033,P00968,A
cas1,b2755,Q46896,X
cas2,b2754,P45956,X
cas3,b2761,P38036,X
casA,b2760,Q46901,X
casB,b2759,P76632,X
casC,b2758,Q46899,X
casD,b2757,Q46898,X
casE,b2756,Q46897,X
cbeA,b2004,P76364,X
cbl,b1987,Q47083,X
cbpA,b1000,P36659,X
cbpM,b0999,P63264,X
cbrA,b3690,P31456,X
cbrB,b3716,P31468,X
cbrC,b3717,P31469,X
cbtA,b2005,P64524,X
cca,b3056,P06961,S'
ccmA,b2201,P33931,X
ccmB,b2200,P0ABL8,X
ccmC,b2199,P0ABM1,X
ccmD,b2198,P0ABM5,X
ccmE,b2197,P69490,X
ccmF,b2196,P33927,X
ccmG,b2195,P0AA86,X
ccmH,b2194,P0ABM9,X
cdaR,b0162,P37047,X
cdd,b2143,P0ABF6,S'
cdgI,b1785,P76236,X
cdh,b3918,P06282,R
cdsA,b0175,P0ABG1,C'
cedA,b1731,P0AE60,A'
cfa,b1661,P0A9H7,S
chaA,b1216,P31801,X
chaB,b1217,P0AE63,X
chaC,b1218,P39163,X
chbA,b1736,P69791,X
chbB,b1738,P69795,S
chbC,b1737,P17334,X
chbF,b1734,P17411,X
chbG,b1733,P37794,X
chbR,b1735,P17410,X
cheA,b1888,P07363,C
cheB,b1883,P07330,C
cheR,b1884,P07364,X
cheW,b1887,P0A964,C
cheY,b1882,P0AE67,C
cheZ,b1881,P0A9H9,C
chiA,b3338,P13656,X
chiP,b0681,P75733,X
cho,b1741,P76213,X
chpB,b4225,P33647,X
chpS,b4224,P08365,X
cirA,b2155,P17315,U
citC,b0618,P77390,X
citD,b0617,P69330,X
citE,b0616,P0A9I1,X
citF,b0615,P75726,X
citG,b0613,P77231,X
citT,b0612,P0AE74,X
citX,b0614,P0A6G5,X
clcA,b0155,P37019,X
clcB,b1592,P76175,S
clpA,b0882,P0ABH9,S'
clpB,b2592,P63284,S'
clpP,b0437,P0A6G7,S'
clpS,b0881,P0A8Q6,X
clpX,b0438,P0A6H1,R
clsA,b1249,P0A6H8,X
clsB,b0789,P0AA84,X
clsC,b1046,P75919,X
cmk,b0910,P0A6I0,S'
cmoA,b1870,P76290,R
cmoB,b1871,P76291,R
cmoM,b0921,P36566,S'
cmtA,b2933,P69826,X
cmtB,b2934,P69824,X
cnu,b1625,P64467,R
coaA,b3974,P0A6I3,S
coaD,b3634,P0A6I6,A'
coaE,b0103,P0A6I9,S'
cobB,b1120,P75960,S
cobC,b0638,P52086,X
cobS,b1992,P36561,S'
cobT,b1991,P36562,S'
cobU,b1993,P0AE76,X
codA,b0337,P25524,U
codB,b0336,P0AA82,U
cof,b0446,P46891,X
comR,b1111,P75952,C
copA,b0484,Q59385,S'
corA,b3816,P0ABI4,S'
cpdA,b3032,P0AEW4,S'
cpdB,b4213,P08331,S
cpoB,b0742,P45955,A'
cpsB,b2049,P24174,X
cpsG,b2048,P24175,X
cptA,b2896,Q46824,X
cpxA,b3911,P0AE82,S'
cpxP,b4484,P0AE85,S
cpxR,b3912,P0AE88,S'
cra,b0080,P0ACP1,S'
crcB,b0624,P37002,X
creA,b4397,P0AE91,S'
creB,b4398,P08368,X
creC,b4399,P08401,X
creD,b4400,P08369,X
crfC,b4109,P0DM85,X
crl,b0240,P24251,A
crp,b3357,P0ACJ8,S
crr,b2417,P69783,A'
csdA,b2810,Q46925,A'
csdE,b2811,P0AGF2,A'
csgA,b1042,P28307,X
csgB,b1041,P0ABK7,X
csgC,b1043,P52107,X
csgD,b1040,P52106,X
csgE,b1039,P0AE95,X
csgF,b1038,P0AE98,X
csgG,b1037,P0AEA2,X
csiD,b2659,P76621,X
csiE,b2535,P54901,X
csiR,b2664,P37338,X
cspA,b3556,P0A9X9,R
cspB,b1557,P36995,X
cspC,b1823,P0A9Y6,R
cspD,b0880,P0A968,C
cspE,b0623,P0A972,C'
cspF,b1558,P0A976,X
cspG,b0990,P0A978,R
cspH,b0989,P0A982,X
cspI,b1552,P0A986,X
csrA,b2696,P69913,X
csrD,b3252,P13518,X
cstA,b0598,P15078,C
cueO,b0123,P36649,A
cueR,b0487,P0A9G4,C
curA,b1449,P76113,S
cusA,b0575,P38054,A'
cusB,b0574,P77239,A'
cusC,b0572,P77211,A'
cusF,b0573,P77214,R
cusR,b0571,P0ACZ8,S'
cusS,b0570,P77485,S'
cutA,b4137,P69488,X
cutC,b1874,P67826,S'
cvpA,b2313,P08550,X
cvrA,b1191,P76007,C
cyaA,b3806,P00936,A'
cyaY,b3807,P27838,S'
cybB,b1418,P0ABE5,X
cycA,b4208,P0AAE0,S
cydA,b0733,P0ABJ9,S
cydB,b0734,P0ABK2,S
cydC,b0886,P23886,S
cydD,b0887,P29018,U
cydX,b4515,P56100,X
cynR,b0338,P27111,X
cynS,b0340,P00816,X
cynT,b0339,P0ABE9,X
cynX,b0341,P17583,X
cyoA,b0432,P0ABJ1,R
cyoB,b0431,P0ABI8,A
cyoC,b0430,P0ABJ3,X
cyoD,b0429,P0ABJ6,X
cyoE,b0428,P0AEA5,X
cysA,b2422,P16676,U
cysB,b1275,P0A9F3,C'
cysC,b2750,P0A6J1,U
cysD,b2752,P21156,U
cysE,b3607,P0A9D4,S
cysG,b3368,P0AEA8,A
cysH,b2762,P17854,U
cysI,b2763,P17846,U
cysJ,b2764,P38038,U
cysK,b2414,P0ABK5,A'
cysM,b2421,P16703,R
cysN,b2751,P23845,U
cysP,b2425,P16700,R
cysQ,b4214,P22255,S'
cysS,b0526,P21888,U
cysU,b2424,P16701,R
cysW,b2423,P0AEB0,X
cysZ,b2413,P0A6J3,X
cytR,b3934,P0ACN7,C'
dacA,b0632,P0AEB2,R
dacB,b3182,P24228,A
dacC,b0839,P08506,S'
dacD,b2010,P33013,R
dadA,b1189,P0A6J5,C'
dadX,b1190,P29012,S'
dam,b3387,P0AEE8,A'
damX,b3388,P11557,S'
