growth_medium,high,low,percentile,replicate,strain
acetate,0.5491037499999935,0.5128840000000002,95.0,hyperparameter,WT
acetate,0.5392343749999999,0.523172875,75.0,hyperparameter,WT
acetate,0.5351535,0.52657575,50.0,hyperparameter,WT
acetate,0.532713875,0.52880225,25.0,hyperparameter,WT
acetate,0.5314714500000002,0.5299602000000002,5.0,hyperparameter,WT
acetate,0.5491037499999935,0.5128840000000002,95.0,0,WT
acetate,0.5392343749999999,0.523172875,75.0,0,WT
acetate,0.5351535,0.52657575,50.0,0,WT
acetate,0.532713875,0.52880225,25.0,0,WT
acetate,0.5314714500000002,0.5299602000000002,5.0,0,WT
acetate,0.5491037499999935,0.5128840000000002,95.0,1,WT
acetate,0.5392343749999999,0.523172875,75.0,1,WT
acetate,0.5351535,0.52657575,50.0,1,WT
acetate,0.532713875,0.52880225,25.0,1,WT
acetate,0.5314714500000002,0.5299602000000002,5.0,1,WT
acetate,0.5491037499999935,0.5128840000000002,95.0,2,WT
acetate,0.5392343749999999,0.523172875,75.0,2,WT
acetate,0.5351535,0.52657575,50.0,2,WT
acetate,0.532713875,0.52880225,25.0,2,WT
acetate,0.5314714500000002,0.5299602000000002,5.0,2,WT
acetate,0.5491037499999935,0.5128840000000002,95.0,3,WT
acetate,0.5392343749999999,0.523172875,75.0,3,WT
acetate,0.5351535,0.52657575,50.0,3,WT
acetate,0.532713875,0.52880225,25.0,3,WT
acetate,0.5314714500000002,0.5299602000000002,5.0,3,WT
acetate,0.5491037499999935,0.5128840000000002,95.0,4,WT
acetate,0.5392343749999999,0.523172875,75.0,4,WT
acetate,0.5351535,0.52657575,50.0,4,WT
acetate,0.532713875,0.52880225,25.0,4,WT
acetate,0.5314714500000002,0.5299602000000002,5.0,4,WT
acetate,0.6295885999999978,0.5555775250000006,95.0,hyperparameter,∆dpp
acetate,0.6081555,0.5735315000000001,75.0,hyperparameter,∆dpp
acetate,0.5988534999999999,0.5802652500000001,50.0,hyperparameter,∆dpp
acetate,0.593557125,0.585109625,25.0,hyperparameter,∆dpp
acetate,0.5909078000000045,0.5875111000000001,5.0,hyperparameter,∆dpp
acetate,0.6295885999999978,0.5555775250000006,95.0,0,∆dpp
acetate,0.6081555,0.5735315000000001,75.0,0,∆dpp
acetate,0.5988534999999999,0.5802652500000001,50.0,0,∆dpp
acetate,0.593557125,0.585109625,25.0,0,∆dpp
acetate,0.5909078000000045,0.5875111000000001,5.0,0,∆dpp
acetate,0.6295885999999978,0.5555775250000006,95.0,1,∆dpp
acetate,0.6081555,0.5735315000000001,75.0,1,∆dpp
acetate,0.5988534999999999,0.5802652500000001,50.0,1,∆dpp
acetate,0.593557125,0.585109625,25.0,1,∆dpp
acetate,0.5909078000000045,0.5875111000000001,5.0,1,∆dpp
acetate,0.6295885999999978,0.5555775250000006,95.0,2,∆dpp
acetate,0.6081555,0.5735315000000001,75.0,2,∆dpp
acetate,0.5988534999999999,0.5802652500000001,50.0,2,∆dpp
acetate,0.593557125,0.585109625,25.0,2,∆dpp
acetate,0.5909078000000045,0.5875111000000001,5.0,2,∆dpp
acetate,0.6295885999999978,0.5555775250000006,95.0,3,∆dpp
acetate,0.6081555,0.5735315000000001,75.0,3,∆dpp
acetate,0.5988534999999999,0.5802652500000001,50.0,3,∆dpp
acetate,0.593557125,0.585109625,25.0,3,∆dpp
acetate,0.5909078000000045,0.5875111000000001,5.0,3,∆dpp
acetate,0.6295885999999978,0.5555775250000006,95.0,4,∆dpp
acetate,0.6081555,0.5735315000000001,75.0,4,∆dpp
acetate,0.5988534999999999,0.5802652500000001,50.0,4,∆dpp
acetate,0.593557125,0.585109625,25.0,4,∆dpp
acetate,0.5909078000000045,0.5875111000000001,5.0,4,∆dpp
acetate,0.4934005499999867,0.4394636250000003,95.0,hyperparameter,∆dpp ∆flh
acetate,0.47751375,0.453094875,75.0,hyperparameter,∆dpp ∆flh
acetate,0.4718615,0.45886774999999996,50.0,hyperparameter,∆dpp ∆flh
acetate,0.468155375,0.462211875,25.0,hyperparameter,∆dpp ∆flh
acetate,0.46639895000000203,0.4640600000000009,5.0,hyperparameter,∆dpp ∆flh
acetate,0.4934005499999867,0.4394636250000003,95.0,0,∆dpp ∆flh
acetate,0.47751375,0.453094875,75.0,0,∆dpp ∆flh
acetate,0.4718615,0.45886774999999996,50.0,0,∆dpp ∆flh
acetate,0.468155375,0.462211875,25.0,0,∆dpp ∆flh
acetate,0.46639895000000203,0.4640600000000009,5.0,0,∆dpp ∆flh
acetate,0.4934005499999867,0.4394636250000003,95.0,1,∆dpp ∆flh
acetate,0.47751375,0.453094875,75.0,1,∆dpp ∆flh
acetate,0.4718615,0.45886774999999996,50.0,1,∆dpp ∆flh
acetate,0.468155375,0.462211875,25.0,1,∆dpp ∆flh
acetate,0.46639895000000203,0.4640600000000009,5.0,1,∆dpp ∆flh
acetate,0.4934005499999867,0.4394636250000003,95.0,2,∆dpp ∆flh
acetate,0.47751375,0.453094875,75.0,2,∆dpp ∆flh
acetate,0.4718615,0.45886774999999996,50.0,2,∆dpp ∆flh
acetate,0.468155375,0.462211875,25.0,2,∆dpp ∆flh
acetate,0.46639895000000203,0.4640600000000009,5.0,2,∆dpp ∆flh
acetate,0.4934005499999867,0.4394636250000003,95.0,3,∆dpp ∆flh
acetate,0.47751375,0.453094875,75.0,3,∆dpp ∆flh
acetate,0.4718615,0.45886774999999996,50.0,3,∆dpp ∆flh
acetate,0.468155375,0.462211875,25.0,3,∆dpp ∆flh
acetate,0.46639895000000203,0.4640600000000009,5.0,3,∆dpp ∆flh
acetate,0.4934005499999867,0.4394636250000003,95.0,4,∆dpp ∆flh
acetate,0.47751375,0.453094875,75.0,4,∆dpp ∆flh
acetate,0.4718615,0.45886774999999996,50.0,4,∆dpp ∆flh
acetate,0.468155375,0.462211875,25.0,4,∆dpp ∆flh
acetate,0.46639895000000203,0.4640600000000009,5.0,4,∆dpp ∆flh
acetate,0.624468599999942,0.553342725000001,95.0,hyperparameter,∆dpp ∆glt
acetate,0.601661875,0.5709371249999999,75.0,hyperparameter,∆dpp ∆glt
acetate,0.5945834999999999,0.57750775,50.0,hyperparameter,∆dpp ∆glt
acetate,0.59004,0.58247825,25.0,hyperparameter,∆dpp ∆glt
