strain,elapsed_time_hr,od_600nm,technical_replicate,growth_medium,date,run_number,identifier,class
WT,0.0,0.030333333333333337,1,aspartate-minus,2022-02-16,1,GC001,WT
WT,0.12555555555555564,0.03025925925925925,1,aspartate-minus,2022-02-16,1,GC001,WT
WT,0.2511111111111113,0.03137037037037037,1,aspartate-minus,2022-02-16,1,GC001,WT
WT,0.3766666666666669,0.03225925925925925,1,aspartate-minus,2022-02-16,1,GC001,WT
WT,0.5022222222222226,0.03325925925925925,1,aspartate-minus,2022-02-16,1,GC001,WT
WT,0.6277777777777764,0.0342962962962963,1,aspartate-minus,2022-02-16,1,GC001,WT
WT,0.7533333333333321,0.03533333333333334,1,aspartate-minus,2022-02-16,1,GC001,WT
WT,0.8788888888888877,0.03629629629629631,1,aspartate-minus,2022-02-16,1,GC001,WT
WT,1.0044444444444434,0.0372962962962963,1,aspartate-minus,2022-02-16,1,GC001,WT
WT,1.129999999999999,0.03825925925925924,1,aspartate-minus,2022-02-16,1,GC001,WT
WT,1.2555555555555546,0.0392962962962963,1,aspartate-minus,2022-02-16,1,GC001,WT
WT,1.3811111111111103,0.040185185185185185,1,aspartate-minus,2022-02-16,1,GC001,WT
WT,1.506666666666666,0.0412962962962963,1,aspartate-minus,2022-02-16,1,GC001,WT
WT,1.6322222222222216,0.04218518518518519,1,aspartate-minus,2022-02-16,1,GC001,WT
WT,1.7577777777777772,0.04322222222222222,1,aspartate-minus,2022-02-16,1,GC001,WT
WT,1.8833333333333329,0.04422222222222222,1,aspartate-minus,2022-02-16,1,GC001,WT
WT,2.0088888888888885,0.04522222222222222,1,aspartate-minus,2022-02-16,1,GC001,WT
WT,2.134444444444444,0.04718518518518519,1,aspartate-minus,2022-02-16,1,GC001,WT
WT,2.26,0.04718518518518519,1,aspartate-minus,2022-02-16,1,GC001,WT
WT,2.3855555555555554,0.04922222222222222,1,aspartate-minus,2022-02-16,1,GC001,WT
WT,2.511111111111111,0.04937037037037037,1,aspartate-minus,2022-02-16,1,GC001,WT
WT,2.6366666666666667,0.05137037037037037,1,aspartate-minus,2022-02-16,1,GC001,WT
WT,2.7622222222222224,0.052185185185185196,1,aspartate-minus,2022-02-16,1,GC001,WT
