date,run_number,class,identifier,strain,replicate,growth_medium,phase,elapsed_time_hr,od_600nm_subtracted
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_glucose,0.0,0.0107037037037037
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_glucose,0.1255555555555554,0.0106666666666666
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_glucose,0.251111111111111,0.0116666666666666
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_glucose,0.3766666666666667,0.0116666666666666
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_glucose,0.5022222222222219,0.0126666666666666
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_glucose,0.6277777777777775,0.0135555555555555
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_glucose,0.7533333333333332,0.0147037037037037
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_glucose,0.8788888888888888,0.0166666666666666
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_glucose,1.0044444444444445,0.0174444444444444
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_glucose,1.13,0.0184444444444444
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_glucose,1.255555555555555,0.0206666666666666
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_glucose,1.381111111111111,0.0225925925925925
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_glucose,1.5066666666666666,0.0235185185185185
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_glucose,1.6322222222222222,0.0265925925925925
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_glucose,1.757777777777778,0.0285555555555555
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_glucose,1.883333333333333,0.0315185185185185
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_glucose,2.0088888888888885,0.0333703703703703
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_glucose,2.134444444444444,0.0377407407407407
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_glucose,2.26,0.0396296296296296
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_glucose,2.3855555555555554,0.0404814814814814
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,shift,2.511111111111111,0.0426296296296296
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,shift,2.6366666666666667,0.0424814814814814
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,shift,2.762222222222221,0.0424444444444444
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,shift,2.887777777777777,0.0425925925925925
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,shift,3.0133333333333328,0.0424814814814814
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,shift,3.1388888888888884,0.0414444444444444
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,shift,3.264444444444444,0.0414444444444444
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,shift,3.39,0.0415185185185185
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,shift,3.5155555555555558,0.0404444444444444
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,shift,3.641111111111111,0.0405185185185184
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,shift,3.7666666666666666,0.0405185185185184
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,shift,3.8922222222222222,0.0414074074074074
